"ID"	"Cell State"
"EA595564"	"S01"
"EA595624"	"S01"
"EA595679"	"S01"
"EA595720"	"S01"
"EA632768"	"S01"
"EA632802"	"S01"
"EA639112"	"S01"
"G138701_RCCBMS.00008.T_v1_RNA_OnPrem"	"S01"
"G138701_RCCBMS.00044.T_v1_RNA_OnPrem"	"S01"
"G138701_RCCBMS.00057.T_v1_RNA_OnPrem"	"S01"
"G138701_RCCBMS.00097.T_v1_RNA_OnPrem"	"S01"
"G138701_RCCBMS.00099.T_v1_RNA_OnPrem"	"S01"
"G138701_RCCBMS.00111.T_v1_RNA_OnPrem"	"S01"
"G138701_RCCBMS.00125.T_v1_RNA_OnPrem"	"S01"
"P66282.01B.Run1_S1_L001"	"S01"
"P66282.05F.Run1_S22_L002"	"S01"
"P66282.08A.Run1_S5_L001"	"S01"
"P66282.09A.Run1_S8_L001"	"S01"
"P66287.02A.Run1_S5_L001"	"S01"
"P66287.11A.Run1_S20_L002"	"S01"
"P66291.06D.Run1_S27_L002"	"S01"
"P66291.06G.Run1_S29_L002"	"S01"
"P66291.09A.Run1_S10_L001"	"S01"
"P66291.10E.Run1_S19_L002"	"S01"
"P66425.08C.Run1_S5_L001"	"S01"
"P66432.07A.Run1_S16_L002"	"S01"
"P66451.02A.Run1_S20_L002"	"S01"
"P66451.07E.Run1_S19_L002"	"S01"
"P66511.07G.Run1_S18_L002"	"S01"
"RCC_102_T_SCR"	"S01"
"RCC_106_T_SCR"	"S01"
"RCC_50_T_SCR"	"S01"
"EA595650"	"S02"
"EA632174"	"S02"
"EA639099"	"S02"
"EA639104"	"S02"
"EA639156"	"S02"
"EA647814"	"S02"
"EA647820"	"S02"
"G138701_RCCBMS.00136.T_v1_RNA_OnPrem"	"S02"
"G138701_RCCBMS.00154.T_v1_RNA_OnPrem"	"S02"
"P66282.09E.Run1_S10_L001"	"S02"
"P66287.01D.Run1_S1_L001"	"S02"
"P66287.11D.Run1_S23_L002"	"S02"
"P66287.12C.Run1_S29_L002"	"S02"
"P66291.01A.Run1_S1_L001"	"S02"
"P66425.02F.Run1_S7_L001"	"S02"
"P66432.02C.Run1_S22_L002"	"S02"
"P66432.03C.Run1_S30_L002"	"S02"
"P66432.08B.Run1_S23_L002"	"S02"
"P66451.08H.Run1_S26_L002"	"S02"
"P66507.01G.Run1_S20_L002"	"S02"
"P66507.08H.Run1_S24_L002"	"S02"
"P66507.09C.Run1_S26_L002"	"S02"
"P66511.05F.Run1_S12_L001"	"S02"
"EA595500"	"S03"
"EA632688"	"S03"
"EA632813"	"S03"
"EA639131"	"S03"
"G138701_RCCBMS.00116.T_v1_RNA_OnPrem"	"S03"
"G138701_RCCBMS.00141.T_v1_RNA_OnPrem"	"S03"
"P66282.02E.Run1_S6_L001"	"S03"
"P66291.02E.Run1_S7_L001"	"S03"
"P66291.05H.Run1_S23_L002"	"S03"
"P66425.02E.Run1_S6_L001"	"S03"
"P66425.03F.Run1_S12_L001"	"S03"
"P66425.06F.Run1_S29_L002"	"S03"
"P66425.09F.Run1_S12_L001"	"S03"
"P66432.07D.Run1_S19_L002"	"S03"
"P66432.08G.Run1_S26_L002"	"S03"
"P66511.04H.Run1_S7_L001"	"S03"
"RCC_115_T_SCR"	"S03"
"RCC_18_T_SCR"	"S03"
"RCC_96_T_SCR"	"S03"
"EA595454"	"S04"
"EA595660"	"S04"
"EA632138"	"S04"
"EA632772"	"S04"
"EA639018"	"S04"
"EA639114"	"S04"
"EA639120"	"S04"
"G138701_RCCBMS.00036.T_v1_RNA_OnPrem"	"S04"
"G138701_RCCBMS.00093.T_v1_RNA_OnPrem"	"S04"
"P66282.11G.Run1_S20_L002"	"S04"
"P66425.04C.Run1_S18_L002"	"S04"
"P66507.07F.Run1_S16_L002"	"S04"
"EA595522"	"S05"
"EA595597"	"S05"
"EA595621"	"S05"
"EA595628"	"S05"
"EA595632"	"S05"
"EA595635"	"S05"
"EA632758"	"S05"
"EA639153"	"S05"
"EA647829"	"S05"
"G138701_RCCBMS.00084.T_v1_RNA_OnPrem"	"S05"
"G138701_RCCBMS.00092.T_v1_RNA_OnPrem"	"S05"
"G138701_RCCBMS.00194.T_v1_RNA_OnPrem"	"S05"
"P66282.03A.Run1_S9_L001"	"S05"
"P66282.03D.Run1_S11_L001"	"S05"
"P66282.04E.Run1_S18_L002"	"S05"
"P66282.05G.Run1_S23_L002"	"S05"
