"ID"	"Cell State"
"PD1_4_PRE"	"S01"
"PD1_6_PRE"	"S01"
"PD1_35_PRE"	"S01"
"PD1_44_PRE"	"S01"
"PD1_45_PRE"	"S01"
"PD1_53_PRE"	"S01"
"PD1_34_PRE"	"S01"
"PD1_48_PRE"	"S01"
"ipiPD1_12_PRE"	"S01"
"ipiPD1_20_PRE"	"S01"
"ipiPD1_21_PRE"	"S01"
"ipiPD1_26_PRE"	"S01"
"ipiPD1_37_PRE"	"S01"
"ipiPD1_46_PRE"	"S01"
"ipiPD1_13_PRE"	"S01"
"ipiPD1_19_PRE"	"S01"
"ipiPD1_27_PRE"	"S01"
"ipiPD1_36_PRE"	"S01"
"PD1_2_PRE"	"S02"
"PD1_7_PRE"	"S02"
"PD1_40_PRE"	"S02"
"PD1_47_PRE"	"S02"
"PD1_17_PRE"	"S02"
"ipiPD1_24_PRE"	"S02"
"ipiPD1_44_PRE"	"S02"
"ipiPD1_50_PRE"	"S02"
"PD1_54_PRE"	"S03"
"ipiPD1_47_PRE"	"S03"
