"ID"	"Cell State"
"PD1_4_PRE"	"S01"
"PD1_15_PRE"	"S01"
"PD1_9_PRE"	"S01"
"PD1_11_PRE"	"S01"
"PD1_47_PRE"	"S01"
"ipiPD1_14_PRE"	"S01"
"ipiPD1_17_PRE"	"S01"
"PD1_16_PRE"	"S02"
"PD1_30_PRE"	"S02"
"PD1_50_PRE"	"S02"
"PD1_18_PRE"	"S02"
"PD1_17_PRE"	"S02"
"PD1_25_PRE"	"S02"
"ipiPD1_44_PRE"	"S02"
"ipiPD1_45_PRE"	"S02"
"ipiPD1_50_PRE"	"S02"
"PD1_2_PRE"	"S03"
"PD1_44_PRE"	"S03"
"PD1_52_PRE"	"S03"
"PD1_53_PRE"	"S03"
"PD1_38_PRE"	"S03"
"ipiPD1_12_PRE"	"S03"
"ipiPD1_20_PRE"	"S03"
"ipiPD1_21_PRE"	"S03"
"ipiPD1_34_PRE"	"S03"
"ipiPD1_37_PRE"	"S03"
"ipiPD1_46_PRE"	"S03"
"ipiPD1_27_PRE"	"S03"
"ipiPD1_36_PRE"	"S03"
"PD1_46_PRE"	"S04"
"PD1_3_PRE"	"S04"
"PD1_5_PRE"	"S04"
"PD1_12_PRE"	"S04"
"PD1_21_PRE"	"S04"
"PD1_27_PRE"	"S04"
"PD1_10_PRE"	"S04"
"PD1_13_PRE"	"S04"
"ipiPD1_24_PRE"	"S04"
"ipiPD1_25_PRE"	"S04"
"ipiPD1_19_PRE"	"S04"
"PD1_36_PRE"	"S05"
"PD1_23_PRE"	"S05"
"PD1_42_PRE"	"S05"
"PD1_41_PRE"	"S05"
"ipiPD1_26_PRE"	"S05"
"ipiPD1_33_PRE"	"S05"
