"ID"	"Cell State"
"PD1_4_PRE"	"S01"
"PD1_15_PRE"	"S01"
"PD1_19_PRE"	"S01"
"PD1_35_PRE"	"S01"
"PD1_46_PRE"	"S01"
"PD1_49_PRE"	"S01"
"PD1_3_PRE"	"S01"
"PD1_11_PRE"	"S01"
"PD1_12_PRE"	"S01"
"PD1_14_PRE"	"S01"
"PD1_10_PRE"	"S01"
"PD1_13_PRE"	"S01"
"PD1_17_PRE"	"S01"
"PD1_25_PRE"	"S01"
"ipiPD1_15_PRE"	"S01"
"ipiPD1_35_PRE"	"S01"
"PD1_9_PRE"	"S02"
"PD1_42_PRE"	"S02"
"PD1_47_PRE"	"S02"
"PD1_2_PRE"	"S03"
"PD1_16_PRE"	"S03"
"PD1_30_PRE"	"S03"
"PD1_50_PRE"	"S03"
"PD1_18_PRE"	"S03"
"PD1_21_PRE"	"S03"
"PD1_23_PRE"	"S03"
"ipiPD1_44_PRE"	"S03"
"ipiPD1_45_PRE"	"S03"
"ipiPD1_50_PRE"	"S03"
"PD1_44_PRE"	"S04"
"PD1_45_PRE"	"S04"
"PD1_52_PRE"	"S04"
"PD1_7_PRE"	"S04"
"PD1_34_PRE"	"S04"
"PD1_38_PRE"	"S04"
"PD1_40_PRE"	"S04"
"PD1_54_PRE"	"S04"
"PD1_48_PRE"	"S04"
"ipiPD1_32_PRE"	"S04"
"ipiPD1_37_PRE"	"S04"
"ipiPD1_47_PRE"	"S04"
"ipiPD1_13_PRE"	"S04"
"ipiPD1_27_PRE"	"S04"
"ipiPD1_36_PRE"	"S04"
"ipiPD1_12_PRE"	"S05"
"ipiPD1_21_PRE"	"S05"
"ipiPD1_34_PRE"	"S05"
"ipiPD1_46_PRE"	"S05"
"PD1_5_PRE"	"S06"
"PD1_41_PRE"	"S06"
"ipiPD1_10_PRE"	"S06"
"ipiPD1_14_PRE"	"S06"
"ipiPD1_25_PRE"	"S06"
"ipiPD1_49_PRE"	"S06"
"ipiPD1_19_PRE"	"S06"
"ipiPD1_33_PRE"	"S06"
