"ID"	"Cell State"
"PD1_54_PRE"	"S01"
"ipiPD1_12_PRE"	"S01"
"ipiPD1_46_PRE"	"S01"
"PD1_4_PRE"	"S02"
"PD1_36_PRE"	"S02"
"PD1_11_PRE"	"S02"
"PD1_38_PRE"	"S02"
"PD1_42_PRE"	"S02"
"ipiPD1_14_PRE"	"S02"
"ipiPD1_20_PRE"	"S02"
"ipiPD1_24_PRE"	"S02"
"ipiPD1_34_PRE"	"S02"
"PD1_2_PRE"	"S03"
"PD1_44_PRE"	"S03"
"PD1_46_PRE"	"S03"
"PD1_50_PRE"	"S03"
"PD1_52_PRE"	"S03"
"PD1_7_PRE"	"S03"
"PD1_9_PRE"	"S03"
"PD1_18_PRE"	"S03"
"PD1_23_PRE"	"S03"
"PD1_34_PRE"	"S03"
"PD1_40_PRE"	"S03"
"PD1_47_PRE"	"S03"
"PD1_48_PRE"	"S03"
"PD1_17_PRE"	"S03"
"PD1_25_PRE"	"S03"
"PD1_41_PRE"	"S03"
"ipiPD1_21_PRE"	"S03"
"ipiPD1_25_PRE"	"S03"
"ipiPD1_26_PRE"	"S03"
"ipiPD1_37_PRE"	"S03"
"ipiPD1_44_PRE"	"S03"
"ipiPD1_45_PRE"	"S03"
"ipiPD1_50_PRE"	"S03"
"ipiPD1_13_PRE"	"S03"
"ipiPD1_27_PRE"	"S03"
"ipiPD1_36_PRE"	"S03"
