"ID"	"Cell State"
"Pt_36_PRE"	"S01"
"Pt_29_PRE"	"S02"
"Pt_48_PRE"	"S02"
"Pt_48_PROG1"	"S02"
"Pt_46_PROG1"	"S02"
"Pt_49_PROG"	"S03"
"Pt_10_PROG"	"S03"
"Pt_28_PRE"	"S03"
"Pt_42_PRE"	"S03"
"Pt_41_PRE"	"S03"
"Pt_13_PRE"	"S03"
"Pt_3_PRE"	"S03"
"Pt_9_PROG"	"S04"
"Pt_16_PRE"	"S04"
"Pt_8_PRE"	"S04"
"Pt_35_PRE"	"S04"
"Pt_2_PRE"	"S04"
"Pt_18_PRE"	"S04"
"Pt_33_PRE"	"S04"
"Pt_19_PRE"	"S04"
"Pt_31_PROG3"	"S05"
"Pt_24_PRE"	"S05"
"Pt_40_PRE"	"S05"
"Pt_54_PROG2"	"S05"
"Pt_26_PROG"	"S06"
"Pt_22_PRE"	"S06"
"Pt_52_PROG2"	"S06"
"Pt_53_PROG2"	"S06"
"Pt_48_PROG2"	"S06"
"Pt_54_PROG1"	"S06"
"Pt_52_PROG1"	"S06"
"Pt_6_PRE"	"S06"
"Pt_34_PRE"	"S06"
"Pt_20_PRE"	"S06"
"Pt_24_RES"	"S07"
"Pt_29_RES"	"S07"
"Pt_51_PROG"	"S07"
"Pt_23_RES"	"S07"
"Pt_50_PROG"	"S07"
"Pt_45_RES"	"S07"
"Pt_46_PRE"	"S07"
"Pt_15_PRE"	"S07"
"Pt_5_PRE"	"S07"
"Pt_7_PRE"	"S07"
"Pt_32_PRE"	"S08"
"Pt_49_PRE"	"S08"
"Pt_24_PROG"	"S08"
"Pt_25_PROG"	"S08"
"Pt_1_PRE"	"S08"
"Pt_43_PRE"	"S08"
"Pt_17_PRE"	"S08"
"Pt_4_PRE"	"S08"
