"ID"	"Cell State"
"Patient112"	"S01"
"Patient125"	"S01"
"Patient126"	"S01"
"Patient132"	"S01"
"Patient134"	"S01"
"Patient137"	"S01"
"Patient149"	"S01"
"Patient14"	"S01"
"Patient169"	"S01"
"Patient172"	"S01"
"Patient181"	"S01"
"Patient37"	"S01"
"Patient77"	"S01"
"Patient98"	"S01"
"Patient189"	"S01"
"Patient200"	"S01"
"Patient193"	"S01"
"Patient145"	"S02"
"Patient167"	"S02"
"Patient78"	"S02"
"Patient99"	"S02"
"Patient191"	"S02"
"Patient130"	"S03"
"Patient133"	"S03"
"Patient75"	"S03"
"Patient79"	"S03"
