"ID"	"Carcinoma Ecotype"
"SAMf2ce197162ce"	"CE1"
"SAMb2f1d0e54ece"	"CE1"
"SAMb963dda93cfd"	"CE1"
"SAM9fb814c22bdb"	"CE1"
"SAM63405b04ab2d"	"CE1"
"SAMe9ae8beb82fa"	"CE1"
"SAMd215b503f99a"	"CE1"
"SAM0ce9c983b20f"	"CE1"
"SAM61baf919bb01"	"CE1"
"SAM2f228939632f"	"CE1"
"SAM297c0301e861"	"CE1"
"SAM8e8ef2368dfa"	"CE1"
"SAM2570ff4aae6e"	"CE1"
"SAM025b45c27e05"	"CE1"
"SAMf3a9bce50099"	"CE1"
"SAMffa5c7cad0e5"	"CE1"
"SAMbd8ee73983b8"	"CE1"
"SAMe94c30c30616"	"CE1"
"SAMe97af0feefdf"	"CE1"
"SAMee3844cc0b9f"	"CE1"
"SAM28687037e4ff"	"CE1"
"SAM0bdb3428bd13"	"CE1"
"SAMeb587a68006b"	"CE1"
"SAMaff272833538"	"CE1"
"SAMad83c9c53537"	"CE1"
"SAMd135d5867fe3"	"CE1"
"SAM978a587b207e"	"CE1"
"SAM76a431ba6ce1"	"CE1"
"SAM7a9093b9c7e9"	"CE1"
"SAM26104d5adc89"	"CE1"
"SAMfed609955db9"	"CE1"
"SAM2bba8cb35e48"	"CE1"
"SAM9410b866974a"	"CE1"
"SAM5d989c86255e"	"CE1"
"SAM49d48750e294"	"CE1"
"SAM1c0ecfb3eb63"	"CE1"
"SAMd2492b2a31bb"	"CE1"
"SAM670649e105b5"	"CE1"
"SAM9681450bbc90"	"CE1"
"SAM181b638b8248"	"CE1"
"SAM00b9e5c52da9"	"CE1"
"SAM1c8b086175ca"	"CE1"
"SAM1dda30f1c5be"	"CE1"
"SAM9daccafc18db"	"CE1"
"SAM187e056d6a2a"	"CE1"
"SAM09c84ec0cf34"	"CE1"
"SAM59fda9035d1d"	"CE1"
"SAM6662f5181f87"	"CE1"
"SAMe0c49ea0df5d"	"CE1"
"SAM1f66db567eb5"	"CE1"
"SAM85e41e7f33f9"	"CE2"
"SAMdf3e42c8672a"	"CE2"
"SAM4edbe45817b3"	"CE2"
"SAM73b653ae20d1"	"CE2"
"SAM45c8e6412c66"	"CE2"
"SAM0a7c2091dd56"	"CE2"
"SAM19fec8f3b3bd"	"CE2"
"SAM29da928587ad"	"CE2"
"SAM0a0f2bac4b20"	"CE2"
"SAM3b15b4c6311d"	"CE2"
"SAM1a87df750b9d"	"CE2"
"SAM59289ca42c99"	"CE2"
"SAM5fc9ae0aed1f"	"CE2"
"SAMce39dd79b441"	"CE2"
"SAMe7e4f7c076a7"	"CE2"
"SAM553c3c35b847"	"CE3"
"SAM415f36ad349e"	"CE3"
"SAM18a4dabbc557"	"CE3"
"SAMab8052a03398"	"CE4"
"SAM698d8d76b934"	"CE5"
"SAMd027124354ce"	"CE5"
"SAM6cb230f208a8"	"CE5"
"SAM7d7c54623618"	"CE5"
"SAM1bcc62d8290c"	"CE5"
"SAM7f0d9cc7f001"	"CE6"
"SAMcf018fee2acd"	"CE6"
"SAM36a9225b0222"	"CE6"
"SAMc0d625a50eb8"	"CE6"
"SAMc692536a795a"	"CE6"
"SAM9a2cf3c06fb3"	"CE6"
"SAM557dde1b9f3e"	"CE6"
"SAMa9ca8536d2b1"	"CE6"
"SAM7fb6987514a4"	"CE6"
"SAMbf1a3ae828e6"	"CE6"
"SAMa1e62d323e1d"	"CE6"
"SAMd636e3461955"	"CE6"
"SAMd98bac0a070f"	"CE6"
"SAMfd947610629d"	"CE6"
"SAMe7bcab05402e"	"CE6"
"SAMd697ba701077"	"CE6"
"SAM166a419a4e5a"	"CE6"
"SAMdab9ca8fb5de"	"CE6"
"SAMaf7578d55754"	"CE6"
"SAMc2a1820d4e6b"	"CE6"
"SAMe1eb5d988760"	"CE6"
"SAM30cf07d4874f"	"CE6"
"SAM31291c256373"	"CE6"
"SAM675a12a09c15"	"CE6"
"SAMe9475f77504b"	"CE6"
"SAMfddc359e862b"	"CE6"
"SAM753d4bb52dbe"	"CE6"
"SAM59f392864f5d"	"CE6"
"SAMd43f8933066b"	"CE6"
"SAM7aa01fc49a80"	"CE6"
"SAM3894ac3956a5"	"CE6"
"SAM3779e979db6b"	"CE6"
"SAMbf91f27e7f9b"	"CE6"
