"ID"	"Cell State"
"Xf7ee4a331a8fd70edc240dff978c170d"	"S01"
"Xa57451efa2822becb256706fe939d078"	"S01"
"Xff8fbe2fe76c82d429d4fa1d315f3b93"	"S01"
"Xf9ad54895d67b651806deab25643ea6e"	"S01"
"X97b6866aa994b9796e91aef65c9aa00a"	"S01"
"X441f1fa08e92bc869755da2f1d547f92"	"S01"
"X4c20c40030741ca8a07e483e26a19e67"	"S01"
"Xbebf2ac740744d14a9c3196582773a65"	"S01"
"X31dc99ac3198e9b0437786a6f2edc50d"	"S01"
"Xe3a92c49455bf11904afa9c1d9661350"	"S01"
"Xfab3b2d8b666d807064f44cf2671b1af"	"S01"
"X52d32af145d65a9fd0a8f433dce1baa0"	"S01"
"X5baf5f197178a266431ca78d774ff73b"	"S01"
"X142598966b9c6f373bd9f077689c67d8"	"S01"
"X680a33183fd78f2b9a08c97342f7a9b0"	"S01"
"X1282a363cb519143621bb786e756e788"	"S01"
"X8224b875993f51494672ed5edf92ea3c"	"S01"
"X554f7b5a74e90e51d22efb03b2581225"	"S01"
"X54dd7db38d84c7317ac97ea0525ea9f8"	"S01"
"X607e127bc3f0f2741a16db6f4d381a3b"	"S01"
"Xcac44b421f2becc20ee74493b10ee0b7"	"S01"
"Xccb12de1235ae5fbeced36bc8d13e7e7"	"S01"
"X0099d88de74c5734bc0323e6c531ce9b"	"S01"
"X298d47047ef997bfd4c253dca2cc0588"	"S01"
"X942564e2e36dccdd3abc6e3da165c8c6"	"S01"
"Xd96588b7afb60fd88370d1f48bc427aa"	"S01"
"X64a237d7f7f6096638bfab20b7a0975b"	"S01"
"Xa7b387551de3ed990e8439c16b16e051"	"S01"
"X3e72c667849f46d12575de2c8fe1b73f"	"S01"
"X5c8076eeca70f8a7c44e2a1693e31936"	"S01"
"X6304847204cc728b80efa8eb1290a69a"	"S01"
"Xbe6871919074c89a4a134d2772f8b338"	"S01"
"X171f97d4eec5de4815cf607897a88f0c"	"S01"
"Xabf7e93504cc2e54f324e7fd1e7c5ae3"	"S01"
"Xa0b271c0bf7021d54e2423c6cafdf7de"	"S01"
"Xc64192030a61c841728f4019d85f9c8d"	"S01"
"X32be66e8f559cffac728b3bc63ddeab7"	"S01"
"X8c0e6d6daa5b513664fa5cb50f241ae5"	"S01"
"X37c71ecb5064264c046feb617faba578"	"S01"
"X576a2127247e20df85ed680ced8925f3"	"S01"
"Xdb0d336db224827a56359f1b1ea13654"	"S01"
"X4e87ea75ef4ec88b310fadbe64482350"	"S01"
"X53eba04ff3a0b1e2e6bda5cc55bab6b4"	"S01"
"Xeb02b03986fb165db0918e780f07686a"	"S01"
"Xe0b1d98af1a2051f94a80e6d25ac90f3"	"S01"
"X80dd6edb18c222882a5790ea6cab9382"	"S01"
"Xe495d4d58d8a6ac92ad28d75abfa99ea"	"S01"
"X1d7f4d3ed5e4fa978c54baff3e53cdbf"	"S01"
"X10130b561ceb11a8156178cc262a4103"	"S01"
"X46a41725b121bf202d07031f3df99bf7"	"S01"
"Xc04593b83b1751a2dd66ab95b283762f"	"S01"
"X193f7ec30727febd61c08d29f0af0ba7"	"S01"
"X7903b560c4fa52ba0200b068191bb1cd"	"S01"
"X958ebbaef76f179c25a4b8a2dd03919f"	"S01"
"Xdb344673daa50c52bb374f4d04a405db"	"S01"
"Xec6d2ac4a9efeb327b23f4604d14de8d"	"S01"
"X98c979b09eea41ffff563b4e906fe515"	"S01"
"Xc22352bcf84a24c5c7629686d3b31ca4"	"S01"
"Xd7996586134d83e7ec1fb0ef138a8681"	"S01"
"Xc8aab3f0a71859b744be62893ffbfc78"	"S01"
"X527f2aafe7403452b1f14607425ef28a"	"S01"
"X5713a01986a6dad5bf423d25d7d78152"	"S01"
"Xa50471a78f18e3f9fab10d9384a8422a"	"S01"
"X3e50db01e03c1bc740cd746bcccf2dcd"	"S01"
"X61a97d2741939f321db9d23e8ec3eb56"	"S01"
"X132b491d0edd4e1494250a18a31d442f"	"S01"
"Xcd7226eabfc7461ac437f800e24ad62d"	"S01"
"X36a5cb9019e6b2362a0135c1909a8570"	"S01"
"Xf9d1704261fa366e71727842483a4061"	"S01"
"X96bb5c571e081ceacfc6ecaef0f06eb4"	"S01"
"X7c98f8edab0e202814e32c1c7c20831f"	"S01"
"Xe5708fa8dbb23ffce9d768f2af036bc8"	"S01"
