"ID"	"Cell State"
"Pt101_On"	"S01"
"Pt101_Pre"	"S01"
"Pt18_On"	"S01"
"Pt18_Pre"	"S01"
"Pt4_On"	"S01"
"Pt77_On"	"S01"
"Pt77_Pre"	"S01"
"Pt106_Pre"	"S02"
"Pt27_On"	"S02"
"Pt9_On"	"S02"
"Pt9_Pre"	"S02"
"Pt27_Pre"	"S03"
"Pt52_On"	"S03"
"Pt52_Pre"	"S03"
"Pt78_On"	"S03"
"Pt8_Pre"	"S03"
"Pt44_On"	"S03"
"Pt48_On"	"S03"
"Pt48_Pre"	"S03"
"Pt94_Pre"	"S03"
"Pt10_On"	"S03"
"Pt36_Pre"	"S03"
"Pt82_On"	"S03"
"Pt82_Pre"	"S03"
"Pt89_Pre"	"S03"
"Pt11_Pre"	"S04"
"Pt28_Pre"	"S04"
"Pt30_Pre"	"S04"
"Pt26_On"	"S04"
"Pt26_Pre"	"S04"
"Pt79_On"	"S04"
"Pt11_On"	"S05"
"Pt13_On"	"S05"
"Pt1_Pre"	"S05"
"Pt24_Pre"	"S05"
"Pt28_On"	"S05"
"Pt31_On"	"S05"
"Pt46_Pre"	"S05"
"Pt80_On"	"S05"
"Pt81_On"	"S05"
"Pt105_On"	"S05"
"Pt30_On"	"S05"
"Pt34_On"	"S05"
"Pt34_Pre"	"S05"
"Pt35_On"	"S05"
"Pt49_On"	"S05"
"Pt49_Pre"	"S05"
"Pt69_On"	"S05"
"Pt2_Pre"	"S05"
"Pt36_On"	"S05"
"Pt58_On"	"S05"
"Pt59_Pre"	"S05"
"Pt65_Pre"	"S05"
"Pt87_On"	"S05"
"Pt92_On"	"S05"
"Pt92_Pre"	"S05"
"Pt98_On"	"S05"
