"ID"	"Cell State"
"Pt31_Pre"	"S01"
"Pt52_On"	"S01"
"Pt52_Pre"	"S01"
"Pt78_On"	"S01"
"Pt44_On"	"S01"
"Pt48_Pre"	"S01"
"Pt49_Pre"	"S01"
"Pt94_Pre"	"S01"
"Pt36_Pre"	"S01"
"Pt89_Pre"	"S01"
"Pt29_Pre"	"S02"
"Pt65_On"	"S02"
"Pt65_Pre"	"S02"
"Pt103_On"	"S03"
"Pt1_On"	"S03"
"Pt66_Pre"	"S03"
"Pt9_On"	"S03"
"Pt9_Pre"	"S03"
"Pt30_Pre"	"S03"
"Pt10_Pre"	"S03"
"Pt26_On"	"S03"
"Pt26_Pre"	"S03"
"Pt79_On"	"S03"
"Pt79_Pre"	"S03"
"Pt11_On"	"S04"
"Pt11_Pre"	"S04"
"Pt31_On"	"S04"
"Pt46_On"	"S04"
"Pt46_Pre"	"S04"
"Pt101_On"	"S04"
"Pt101_Pre"	"S04"
"Pt18_On"	"S04"
"Pt18_Pre"	"S04"
"Pt30_On"	"S04"
"Pt34_On"	"S04"
"Pt49_On"	"S04"
"Pt69_On"	"S04"
"Pt36_On"	"S04"
"Pt4_On"	"S04"
"Pt59_Pre"	"S04"
"Pt77_On"	"S04"
"Pt77_Pre"	"S04"
"Pt87_On"	"S04"
"Pt92_On"	"S04"
"Pt92_Pre"	"S04"
"Pt106_Pre"	"S05"
"Pt13_On"	"S05"
"Pt28_On"	"S05"
"Pt47_On"	"S05"
"Pt47_Pre"	"S05"
"Pt8_Pre"	"S05"
"Pt44_Pre"	"S05"
"Pt10_On"	"S05"
"Pt58_On"	"S05"
"Pt89_On"	"S05"
"Pt1_Pre"	"S06"
"Pt24_Pre"	"S06"
"Pt27_On"	"S06"
"Pt27_Pre"	"S06"
"Pt5_On"	"S06"
"Pt90_Pre"	"S06"
"Pt3_Pre"	"S06"
"Pt2_On"	"S06"
"Pt2_Pre"	"S06"
