"ID"	"Cell State"
"Pt78_On"	"S01"
"Pt49_On"	"S01"
"Pt49_Pre"	"S01"
"Pt36_Pre"	"S01"
"Pt106_Pre"	"S02"
"Pt47_On"	"S02"
"Pt47_Pre"	"S02"
"Pt85_On"	"S02"
"Pt108_On"	"S02"
"Pt2_On"	"S02"
"Pt2_Pre"	"S02"
"Pt58_On"	"S02"
"Pt65_On"	"S02"
"Pt65_Pre"	"S02"
"Pt92_Pre"	"S02"
"Pt1_Pre"	"S03"
"Pt46_Pre"	"S03"
"Pt101_On"	"S03"
"Pt101_Pre"	"S03"
"Pt34_On"	"S03"
"Pt36_On"	"S03"
"Pt103_On"	"S04"
"Pt17_On"	"S04"
"Pt17_Pre"	"S04"
"Pt1_On"	"S04"
"Pt26_On"	"S04"
"Pt26_Pre"	"S04"
"Pt38_On"	"S04"
"Pt38_Pre"	"S04"
"Pt79_On"	"S04"
"Pt79_Pre"	"S04"
"Pt98_On"	"S04"
"Pt52_On"	"S05"
"Pt52_Pre"	"S05"
"Pt80_On"	"S05"
"Pt93_On"	"S05"
"Pt48_On"	"S05"
"Pt48_Pre"	"S05"
"Pt82_On"	"S05"
"Pt82_Pre"	"S05"
