"ID"	"Cell State"
"Pt103_On"	"S01"
"Pt47_On"	"S01"
"Pt90_Pre"	"S01"
"Pt37_On"	"S01"
"Pt37_Pre"	"S01"
"Pt79_On"	"S01"
"Pt78_On"	"S02"
"Pt49_Pre"	"S02"
"Pt36_Pre"	"S02"
"Pt106_Pre"	"S03"
"Pt47_Pre"	"S03"
"Pt85_On"	"S03"
"Pt108_On"	"S03"
"Pt36_On"	"S03"
"Pt65_On"	"S03"
"Pt65_Pre"	"S03"
"Pt1_Pre"	"S04"
"Pt46_On"	"S04"
"Pt46_Pre"	"S04"
"Pt80_On"	"S04"
"Pt101_On"	"S04"
"Pt101_Pre"	"S04"
"Pt105_On"	"S04"
"Pt34_On"	"S04"
"Pt34_Pre"	"S04"
"Pt49_On"	"S04"
"Pt69_On"	"S04"
"Pt2_On"	"S04"
"Pt2_Pre"	"S04"
"Pt58_On"	"S04"
"Pt92_On"	"S04"
"Pt92_Pre"	"S04"
"Pt52_On"	"S05"
"Pt52_Pre"	"S05"
"Pt48_On"	"S05"
"Pt48_Pre"	"S05"
"Pt67_Pre"	"S05"
"Pt82_On"	"S05"
"Pt109_On"	"S06"
"Pt17_On"	"S06"
"Pt17_Pre"	"S06"
"Pt1_On"	"S06"
"Pt93_On"	"S06"
"Pt38_On"	"S06"
"Pt38_Pre"	"S06"
"Pt79_Pre"	"S06"
"Pt82_Pre"	"S06"
"Pt98_On"	"S06"
