"ID"	"Cell State"
"Pt80_On"	"S01"
"Pt93_On"	"S01"
"Pt9_On"	"S01"
"Pt78_On"	"S02"
"Pt44_On"	"S02"
"Pt4_On"	"S02"
"Pt77_On"	"S02"
"Pt89_On"	"S03"
"Pt13_On"	"S04"
"Pt10_On"	"S04"
"Pt26_On"	"S04"
"Pt58_On"	"S04"
"Pt3_On"	"S05"
"Pt82_On"	"S05"
"Pt103_On"	"S06"
"Pt1_On"	"S06"
"Pt28_On"	"S06"
"Pt52_On"	"S06"
"Pt81_On"	"S06"
"Pt79_On"	"S06"
"Pt101_On"	"S07"
"Pt18_On"	"S07"
"Pt30_On"	"S07"
"Pt49_On"	"S07"
"Pt87_On"	"S07"
"Pt92_On"	"S07"
"Pt106_On"	"S08"
"Pt11_On"	"S08"
"Pt27_On"	"S08"
"Pt47_On"	"S08"
"Pt85_On"	"S08"
"Pt65_On"	"S08"
