"ID"	"Cell State"
"Pt11_Pre"	"S01"
"Pt90_Pre"	"S01"
"Pt37_Pre"	"S01"
"Pt89_Pre"	"S01"
"Pt31_Pre"	"S02"
"Pt49_Pre"	"S02"
"Pt36_Pre"	"S02"
"Pt106_Pre"	"S03"
"Pt47_Pre"	"S03"
"Pt8_Pre"	"S03"
"Pt9_Pre"	"S03"
"Pt3_Pre"	"S03"
"Pt44_Pre"	"S03"
"Pt72_Pre"	"S03"
"Pt65_Pre"	"S03"
"Pt1_Pre"	"S04"
"Pt24_Pre"	"S04"
"Pt46_Pre"	"S04"
"Pt101_Pre"	"S04"
"Pt18_Pre"	"S04"
"Pt34_Pre"	"S04"
"Pt2_Pre"	"S04"
"Pt59_Pre"	"S04"
"Pt77_Pre"	"S04"
"Pt92_Pre"	"S04"
"Pt29_Pre"	"S05"
"Pt52_Pre"	"S05"
"Pt5_Pre"	"S05"
"Pt48_Pre"	"S05"
"Pt67_Pre"	"S05"
"Pt82_Pre"	"S05"
"Pt28_Pre"	"S06"
"Pt66_Pre"	"S06"
"Pt94_Pre"	"S06"
"Pt10_Pre"	"S06"
"Pt38_Pre"	"S06"
"Pt79_Pre"	"S06"
