"ID"	"Cell State"
"TCGA.GC.A6I3.01A"	"S01"
"TCGA.XF.A9T0.01A"	"S01"
"TCGA.BL.A3JM.01A"	"S01"
"TCGA.XF.AAN3.01A"	"S01"
"TCGA.BL.A13J.01A"	"S01"
"TCGA.FD.A3SJ.01A"	"S01"
"TCGA.E7.A677.01A"	"S01"
"TCGA.XF.A9T2.01A"	"S01"
"TCGA.DK.AA6W.01A"	"S01"
"TCGA.UY.A78N.01A"	"S01"
"TCGA.2F.A9KT.01A"	"S01"
"TCGA.GD.A3OS.01A"	"S01"
"TCGA.DK.A6B1.01A"	"S01"
"TCGA.BT.A2LA.01A"	"S01"
"TCGA.GC.A6I3.11A"	"S01"
"TCGA.ZF.A9R7.01A"	"S01"
"TCGA.FD.A6TE.01A"	"S01"
"TCGA.C4.A0EZ.01A"	"S01"
"TCGA.YC.A9TC.01A"	"S01"
"TCGA.E5.A4U1.01A"	"S01"
"TCGA.XF.A9T5.01A"	"S01"
"TCGA.S5.A6DX.01A"	"S01"
"TCGA.E7.A7PW.01A"	"S01"
"TCGA.ZF.A9RC.01A"	"S01"
"TCGA.KQ.A41P.01A"	"S01"
"TCGA.FD.A43S.01A"	"S02"
"TCGA.DK.A2HX.01A"	"S02"
"TCGA.DK.A1A3.01A"	"S02"
"TCGA.BT.A20R.01A"	"S02"
"TCGA.GV.A3JV.01A"	"S02"
"TCGA.BT.A20Q.11A"	"S02"
"TCGA.BT.A20T.01A"	"S02"
"TCGA.GC.A3BM.11A"	"S02"
"TCGA.XF.AAN0.01A"	"S02"
"TCGA.K4.A3WV.11A"	"S02"
"TCGA.BT.A2LA.11A"	"S02"
"TCGA.DK.A3IQ.01A"	"S02"
"TCGA.FD.A6TI.01A"	"S02"
"TCGA.K4.A54R.11A"	"S02"
"TCGA.SY.A9G0.01A"	"S02"
"TCGA.XF.A9SL.01A"	"S02"
"TCGA.BT.A20N.11A"	"S02"
"TCGA.CU.A0YN.11A"	"S02"
"TCGA.BT.A0S7.01A"	"S02"
"TCGA.GD.A3OP.01A"	"S02"
"TCGA.KQ.A41S.01A"	"S02"
"TCGA.UY.A8OD.01A"	"S02"
"TCGA.BT.A2LB.01A"	"S02"
"TCGA.FJ.A3Z7.01A"	"S02"
"TCGA.XF.A9SP.01A"	"S02"
"TCGA.FD.A3SL.01A"	"S02"
"TCGA.GU.A767.01A"	"S02"
"TCGA.FD.A5C0.01A"	"S02"
"TCGA.BT.A2LB.11A"	"S02"
"TCGA.CF.A7I0.01A"	"S02"
"TCGA.CU.A0YO.01A"	"S02"
"TCGA.BL.A0C8.01B"	"S02"
"TCGA.ZF.AA5P.01A"	"S02"
"TCGA.YC.A8S6.01A"	"S02"
"TCGA.BL.A0C8.01A"	"S02"
"TCGA.4Z.AA7N.01A"	"S02"
"TCGA.GD.A2C5.11A"	"S02"
"TCGA.BT.A20W.01A"	"S02"
"TCGA.K4.A5RI.11A"	"S02"
"TCGA.XF.A9SW.01A"	"S02"
"TCGA.FD.A5BR.01A"	"S02"
"TCGA.BL.A13J.11A"	"S02"
"TCGA.BL.A13I.01B"	"S02"
"TCGA.BL.A13J.01B"	"S02"
"TCGA.GD.A3OP.11A"	"S02"
"TCGA.BT.A20R.11A"	"S02"
"TCGA.E7.A6MD.01A"	"S02"
"TCGA.K4.AAQO.01A"	"S02"
"TCGA.CU.A3YL.01A"	"S02"
"TCGA.XF.AAN7.01A"	"S02"
"TCGA.FD.A5BX.01A"	"S02"
"TCGA.CU.A0YR.11A"	"S02"
"TCGA.XF.AAMZ.01A"	"S02"
"TCGA.BL.A13I.01A"	"S02"
"TCGA.K4.A6MB.01A"	"S02"
"TCGA.GC.A3WC.11A"	"S02"
"TCGA.XF.AAMR.01A"	"S02"
"TCGA.FD.A6TG.01A"	"S02"
"TCGA.BT.A20W.11A"	"S02"
"TCGA.GD.A3OQ.11A"	"S02"
"TCGA.K4.A3WU.01B"	"S02"
"TCGA.G2.A2EC.01A"	"S02"
"TCGA.XF.AAN8.01A"	"S02"
"TCGA.GV.A3JZ.01A"	"S02"
"TCGA.UY.A78K.01A"	"S03"
"TCGA.XF.AAMJ.01A"	"S03"
"TCGA.GC.A6I1.01A"	"S03"
"TCGA.4Z.AA82.01A"	"S03"
"TCGA.XF.A8HE.01A"	"S03"
"TCGA.FD.A5BT.01A"	"S03"
"TCGA.FD.A3SN.01A"	"S03"
"TCGA.G2.AA3C.01A"	"S03"
"TCGA.FD.A3SR.01A"	"S03"
