"ID"	"Cell State"
"TCGA.A8.A07C.01A"	"S01"
"TCGA.GM.A2DN.01A"	"S01"
"TCGA.D8.A1JG.01B"	"S01"
"TCGA.A2.A04Q.01A"	"S01"
"TCGA.E2.A1B6.01A"	"S01"
"TCGA.E2.A14Z.01A"	"S01"
"TCGA.D8.A1JL.01A"	"S01"
"TCGA.5L.AAT1.01A"	"S01"
"TCGA.S3.AA0Z.01A"	"S01"
"TCGA.D8.A1J8.01A"	"S01"
"TCGA.AQ.A04J.01A"	"S01"
"TCGA.AR.A1AX.01A"	"S01"
"TCGA.EW.A1IY.01A"	"S01"
"TCGA.PE.A5DE.01A"	"S01"
"TCGA.EW.A1J5.01A"	"S01"
"TCGA.AO.A0JE.01A"	"S01"
"TCGA.BH.A0BF.01A"	"S01"
"TCGA.A2.A0CL.01A"	"S01"
"TCGA.AR.A0TQ.01A"	"S01"
"TCGA.GM.A2DH.01A"	"S01"
"TCGA.A8.A08P.01A"	"S01"
"TCGA.E2.A1IH.01A"	"S01"
"TCGA.EW.A1PE.01A"	"S01"
"TCGA.BH.A0C0.01A"	"S01"
"TCGA.AR.A2LH.01A"	"S01"
"TCGA.AR.A0TS.01A"	"S01"
"TCGA.AR.A0TT.01A"	"S01"
"TCGA.EW.A6SB.01A"	"S01"
"TCGA.AC.A2FB.01A"	"S01"
"TCGA.WT.AB41.01A"	"S01"
"TCGA.E2.A1LA.01A"	"S01"
"TCGA.E9.A3QA.01A"	"S01"
"TCGA.BH.A0DK.01A"	"S01"
"TCGA.B6.A0IJ.01A"	"S01"
"TCGA.LL.A7SZ.01A"	"S01"
"TCGA.AO.A128.01A"	"S01"
"TCGA.C8.A132.01A"	"S01"
"TCGA.AR.A0TX.01A"	"S01"
"TCGA.A2.A0EN.01A"	"S01"
"TCGA.GM.A3XL.01A"	"S01"
"TCGA.BH.A0BW.11A"	"S01"
"TCGA.A2.A3XZ.01A"	"S01"
"TCGA.EW.A1P4.01A"	"S01"
"TCGA.EW.A1P5.01A"	"S01"
"TCGA.E9.A22D.01A"	"S01"
"TCGA.BH.A0BW.01A"	"S01"
"TCGA.A8.A09R.01A"	"S01"
"TCGA.E2.A1B5.01A"	"S01"
"TCGA.GM.A2DI.01A"	"S01"
"TCGA.AR.A0TU.01A"	"S01"
"TCGA.B6.A3ZX.01A"	"S01"
"TCGA.AO.A03L.01A"	"S01"
"TCGA.A2.A0CM.01A"	"S01"
"TCGA.LD.A9QF.01A"	"S01"
"TCGA.AR.A1AW.01A"	"S01"
"TCGA.GM.A2DO.01A"	"S01"
"TCGA.AR.A1AI.01A"	"S01"
"TCGA.A2.A25F.01A"	"S01"
"TCGA.A2.A04X.01A"	"S01"
"TCGA.BH.A1EY.01A"	"S01"
"TCGA.AR.A0TV.01A"	"S01"
"TCGA.OL.A5D7.01A"	"S01"
"TCGA.BH.A1FB.01A"	"S01"
"TCGA.AR.A0U0.01A"	"S01"
"TCGA.E9.A1QZ.01A"	"S01"
"TCGA.BH.A0B9.01A"	"S01"
"TCGA.BH.A2L8.01A"	"S01"
"TCGA.A8.A075.01A"	"S01"
"TCGA.EW.A1IZ.01A"	"S01"
"TCGA.A8.A09Z.01A"	"S01"
"TCGA.BH.A0DT.01A"	"S01"
"TCGA.EW.A3U0.01A"	"S01"
"TCGA.A2.A4S2.01A"	"S01"
"TCGA.BH.A1F0.01A"	"S01"
"TCGA.E2.A15K.01A"	"S01"
"TCGA.D8.A1JB.01A"	"S01"
"TCGA.A2.A0YI.01A"	"S01"
"TCGA.BH.A1FC.01A"	"S01"
"TCGA.EW.A1P7.01A"	"S01"
"TCGA.A2.A0T1.01A"	"S01"
"TCGA.BH.A0BG.01A"	"S01"
"TCGA.E2.A1II.01A"	"S01"
"TCGA.BH.A0RX.01A"	"S01"
"TCGA.A2.A0ST.01A"	"S01"
"TCGA.BH.A203.11A"	"S02"
"TCGA.D8.A1XW.01A"	"S02"
"TCGA.A7.A0DC.11A"	"S02"
"TCGA.BH.A0HF.01A"	"S02"
"TCGA.E2.A158.11A"	"S02"
"TCGA.E9.A1RB.11A"	"S02"
"TCGA.BH.A0B3.11B"	"S02"
"TCGA.OK.A5Q2.01A"	"S02"
"TCGA.Z7.A8R5.01A"	"S02"
"TCGA.BH.A1EU.01A"	"S02"
"TCGA.BH.A1EV.11A"	"S02"
"TCGA.AO.A12E.01A"	"S02"
"TCGA.BH.A18M.11A"	"S02"
"TCGA.AC.A6IX.06A"	"S02"
"TCGA.AR.A1AL.01A"	"S02"
"TCGA.BH.A0BS.11A"	"S02"
"TCGA.A7.A0D9.11A"	"S02"
"TCGA.AC.A8OS.01A"	"S03"
"TCGA.OL.A5RY.01A"	"S03"
"TCGA.BH.A0DG.01A"	"S03"
"TCGA.AR.A1AU.01A"	"S03"
"TCGA.E9.A1RH.11A"	"S03"
"TCGA.A2.A1FZ.01A"	"S03"
"TCGA.BH.A18J.11A"	"S03"
"TCGA.EW.A1PF.01A"	"S03"
"TCGA.AR.A24S.01A"	"S03"
"TCGA.E2.A1IJ.01A"	"S03"
"TCGA.AR.A24O.01A"	"S03"
"TCGA.XX.A899.01A"	"S03"
"TCGA.OL.A66J.01A"	"S03"
"TCGA.4H.AAAK.01A"	"S03"
"TCGA.BH.A18U.11A"	"S03"
"TCGA.OL.A5S0.01A"	"S03"
"TCGA.BH.A1ET.11B"	"S03"
"TCGA.BH.A18R.11A"	"S03"
"TCGA.BH.A0DP.01A"	"S03"
"TCGA.AN.A03X.01A"	"S03"
"TCGA.BH.A1FM.11B"	"S03"
"TCGA.AR.A5QP.01A"	"S03"
"TCGA.OL.A6VQ.01A"	"S03"
"TCGA.AQ.A1H3.01A"	"S03"
"TCGA.A2.A259.01A"	"S03"
"TCGA.E9.A1R3.01A"	"S03"
"TCGA.AC.A3BB.01A"	"S03"
"TCGA.AC.A2QI.01A"	"S03"
"TCGA.AC.A3HN.01A"	"S03"
"TCGA.BH.A0DV.01A"	"S03"
"TCGA.AR.A255.01A"	"S03"
"TCGA.D8.A1XO.01A"	"S03"
"TCGA.BH.A0DX.01A"	"S03"
"TCGA.A2.A04N.01A"	"S03"
"TCGA.BH.A1FN.11A"	"S03"
"TCGA.AC.A23H.11A"	"S03"
"TCGA.A2.A0CO.01A"	"S03"
"TCGA.AC.A3QP.01A"	"S03"
"TCGA.A7.A13H.01A"	"S03"
"TCGA.AO.A126.01A"	"S03"
"TCGA.A2.A1G0.01A"	"S03"
"TCGA.A2.A1FX.01A"	"S03"
"TCGA.BH.A0HA.01A"	"S03"
"TCGA.3C.AALK.01A"	"S03"
"TCGA.BH.A208.01A"	"S03"
"TCGA.E2.A15I.11A"	"S03"
"TCGA.E2.A1B1.01A"	"S03"
"TCGA.AO.A0JJ.01A"	"S03"
"TCGA.BH.A0DO.11A"	"S03"
"TCGA.GI.A2C9.11A"	"S03"
