"ID"	"Cell State"
"TCGA.FU.A3HZ.01A"	"S01"
"TCGA.FU.A40J.01A"	"S01"
"TCGA.EA.A4BA.01A"	"S01"
"TCGA.HM.A6W2.06A"	"S01"
"TCGA.C5.A2LS.01A"	"S01"
"TCGA.EA.A556.01A"	"S01"
"TCGA.MY.A5BD.01A"	"S01"
"TCGA.UC.A7PI.01A"	"S01"
"TCGA.VS.A8EI.01A"	"S01"
"TCGA.IR.A3LA.01A"	"S01"
"TCGA.Q1.A6DV.01A"	"S01"
"TCGA.IR.A3LF.01A"	"S01"
"TCGA.C5.A1ML.01A"	"S01"
"TCGA.FU.A5XV.01A"	"S01"
"TCGA.C5.A8YQ.01A"	"S01"
"TCGA.HG.A2PA.01A"	"S01"
"TCGA.VS.A9UQ.01A"	"S01"
"TCGA.C5.A1MF.01A"	"S01"
"TCGA.C5.A8YT.01A"	"S02"
"TCGA.EA.A50E.01A"	"S02"
"TCGA.HM.A6W2.01A"	"S02"
"TCGA.JW.A5VH.01A"	"S02"
"TCGA.MU.A5YI.01A"	"S02"
"TCGA.4J.AA1J.01A"	"S02"
"TCGA.ZX.AA5X.01A"	"S02"
"TCGA.DS.A0VL.01A"	"S02"
"TCGA.HM.A3JK.01A"	"S02"
"TCGA.ZJ.AAXF.01A"	"S02"
"TCGA.VS.A8QM.01A"	"S02"
"TCGA.ZJ.AAXD.01A"	"S02"
"TCGA.VS.A9UP.01A"	"S02"
"TCGA.VS.A9UZ.01A"	"S02"
"TCGA.EA.A410.01A"	"S02"
"TCGA.C5.A7X8.01A"	"S02"
"TCGA.FU.A57G.01A"	"S02"
"TCGA.FU.A23K.01A"	"S02"
"TCGA.BI.A20A.01A"	"S02"
"TCGA.MY.A5BF.11A"	"S02"
"TCGA.EK.A2GZ.01A"	"S02"
"TCGA.XS.A8TJ.01A"	"S02"
"TCGA.HM.A3JJ.11A"	"S02"
"TCGA.Q1.A73R.01A"	"S02"
"TCGA.PN.A8MA.01A"	"S02"
"TCGA.JX.A3Q8.01A"	"S02"
