"ID"	"Cell State"
"TCGA.AZ.4615.01A"	"S01"
"TCGA.AY.4071.01A"	"S01"
"TCGA.A6.3809.01A"	"S01"
"TCGA.CM.4751.01A"	"S01"
"TCGA.G4.6625.01A"	"S01"
"TCGA.AA.3949.01A"	"S01"
"TCGA.AA.3710.01A"	"S01"
"TCGA.AA.3950.01A"	"S01"
"TCGA.A6.6138.01A"	"S01"
"TCGA.CK.5916.01A"	"S01"
"TCGA.A6.2686.01A"	"S01"
"TCGA.AA.3713.11A"	"S01"
"TCGA.A6.4105.01A"	"S01"
"TCGA.A6.6141.01A"	"S01"
"TCGA.AA.A00R.01A"	"S01"
"TCGA.AU.6004.01A"	"S01"
"TCGA.A6.6780.01A"	"S01"
"TCGA.AA.3514.11A"	"S01"
"TCGA.AA.A00D.01A"	"S01"
"TCGA.AD.6548.01A"	"S01"
"TCGA.NH.A5IV.01A"	"S01"
"TCGA.AA.3510.01A"	"S01"
"TCGA.G4.6293.01A"	"S01"
"TCGA.CK.4947.01B"	"S01"
"TCGA.AA.3525.11A"	"S01"
"TCGA.CK.4951.01A"	"S01"
"TCGA.AA.A02R.01A"	"S01"
"TCGA.AA.3845.01A"	"S01"
"TCGA.AA.3856.01A"	"S01"
"TCGA.D5.6920.01A"	"S01"
"TCGA.AA.3815.01A"	"S01"
"TCGA.G4.6628.01A"	"S01"
"TCGA.AA.3862.01A"	"S01"
"TCGA.AA.A01P.01A"	"S01"
"TCGA.AZ.6598.01A"	"S01"
"TCGA.AA.3516.11A"	"S01"
"TCGA.AA.A00A.01A"	"S01"
"TCGA.D5.6530.01A"	"S01"
"TCGA.AA.3543.01A"	"S01"
"TCGA.AA.3966.01A"	"S01"
"TCGA.A6.2676.01A"	"S01"
"TCGA.AA.3544.01A"	"S01"
"TCGA.AA.3532.01A"	"S01"
"TCGA.AA.3930.01A"	"S01"
"TCGA.AA.3553.01A"	"S01"
"TCGA.AA.3866.01A"	"S01"
"TCGA.CM.6674.01A"	"S01"
"TCGA.A6.2672.01A"	"S01"
"TCGA.AA.A01R.01A"	"S01"
"TCGA.D5.6931.01A"	"S01"
"TCGA.CA.6718.01A"	"S01"
"TCGA.AA.3685.01A"	"S01"
"TCGA.F4.6856.01A"	"S01"
"TCGA.CK.6746.01A"	"S01"
"TCGA.A6.2679.11A"	"S01"
"TCGA.F4.6570.01A"	"S01"
"TCGA.AA.A022.01A"	"S01"
"TCGA.AA.3875.01A"	"S01"
"TCGA.A6.2678.01A"	"S01"
"TCGA.AA.3713.01A"	"S01"
"TCGA.AZ.6601.01A"	"S01"
"TCGA.AA.A00E.01A"	"S01"
"TCGA.D5.6927.01A"	"S01"
"TCGA.AA.3980.01A"	"S01"
"TCGA.AA.3681.01A"	"S01"
"TCGA.AD.6963.01A"	"S01"
"TCGA.AA.3518.01A"	"S01"
"TCGA.D5.6928.01A"	"S01"
"TCGA.D5.6930.01A"	"S01"
"TCGA.AA.3496.01A"	"S01"
"TCGA.AD.5900.01A"	"S01"
"TCGA.G4.6295.01A"	"S01"
"TCGA.G4.6588.01A"	"S01"
"TCGA.AA.3511.11A"	"S02"
"TCGA.AA.3517.11A"	"S02"
"TCGA.A6.5659.11A"	"S02"
"TCGA.AA.3655.11A"	"S02"
"TCGA.AZ.6601.11A"	"S02"
