"ID"	"Carcinoma Ecotype"
"TCGA-06-0878-01A"	"CE1"
"TCGA-26-5135-01A"	"CE1"
"TCGA-76-4928-01B"	"CE1"
"TCGA-06-0125-02A"	"CE1"
"TCGA-06-5414-01A"	"CE1"
"TCGA-02-0055-01A"	"CE1"
"TCGA-14-0781-01B"	"CE1"
"TCGA-02-0047-01A"	"CE1"
"TCGA-06-0644-01A"	"CE1"
"TCGA-28-1753-01A"	"CE1"
"TCGA-14-0789-01A"	"CE1"
"TCGA-26-5139-01A"	"CE1"
"TCGA-06-0187-01A"	"CE1"
"TCGA-19-4065-02A"	"CE1"
"TCGA-27-2528-01A"	"CE1"
"TCGA-06-0211-02A"	"CE1"
"TCGA-76-4927-01A"	"CE1"
"TCGA-32-2638-01A"	"CE1"
"TCGA-28-5218-01A"	"CE1"
"TCGA-06-2562-01A"	"CE1"
"TCGA-06-0211-01A"	"CE1"
"TCGA-14-1034-01A"	"CE1"
"TCGA-12-5299-01A"	"CE1"
"TCGA-06-0190-01A"	"CE1"
"TCGA-28-5209-01A"	"CE1"
"TCGA-06-0190-02A"	"CE1"
"TCGA-28-5215-01A"	"CE1"
"TCGA-28-5208-01A"	"CE1"
"TCGA-28-2513-01A"	"CE1"
"TCGA-19-1389-02A"	"CE1"
"TCGA-27-2524-01A"	"CE2"
"TCGA-28-2509-01A"	"CE2"
"TCGA-16-1045-01B"	"CE3"
"TCGA-06-0141-01A"	"CE3"
"TCGA-06-0138-01A"	"CE3"
"TCGA-06-0210-01A"	"CE3"
"TCGA-06-5410-01A"	"CE3"
"TCGA-06-0645-01A"	"CE3"
"TCGA-06-0184-01A"	"CE3"
"TCGA-06-0171-02A"	"CE3"
"TCGA-28-5213-01A"	"CE3"
"TCGA-41-2571-01A"	"CE5"
"TCGA-28-2514-01A"	"CE5"
"TCGA-06-0681-11A"	"CE5"
"TCGA-32-2634-01A"	"CE5"
"TCGA-12-0618-01A"	"CE5"
"TCGA-28-2510-01A"	"CE5"
"TCGA-12-1597-01B"	"CE5"
"TCGA-06-0678-11A"	"CE5"
"TCGA-06-0686-01A"	"CE5"
"TCGA-06-0675-11A"	"CE5"
"TCGA-12-3650-01A"	"CE5"
"TCGA-02-2483-01A"	"CE5"
"TCGA-06-5416-01A"	"CE5"
"TCGA-06-0238-01A"	"CE5"
"TCGA-06-0680-11A"	"CE5"
"TCGA-06-5411-01A"	"CE5"
"TCGA-19-0957-02A"	"CE5"
"TCGA-06-0174-01A"	"CE5"
"TCGA-41-5651-01A"	"CE5"
"TCGA-27-2521-01A"	"CE5"
"TCGA-28-5207-01A"	"CE6"
"TCGA-19-2620-01A"	"CE6"
"TCGA-06-2558-01A"	"CE6"
"TCGA-32-1982-01A"	"CE6"
"TCGA-14-2554-01A"	"CE6"
"TCGA-06-0882-01A"	"CE6"
"TCGA-06-0750-01A"	"CE6"
"TCGA-15-1444-01A"	"CE6"
"TCGA-06-5859-01A"	"CE7"
"TCGA-06-2564-01A"	"CE7"
"TCGA-06-5417-01A"	"CE7"
"TCGA-28-5204-01A"	"CE7"
"TCGA-27-2523-01A"	"CE7"
"TCGA-14-1034-02B"	"CE7"
"TCGA-06-5858-01A"	"CE7"
"TCGA-06-5856-01A"	"CE7"
"TCGA-06-2559-01A"	"CE7"
"TCGA-06-5408-01A"	"CE7"
"TCGA-06-0211-01B"	"CE7"
"TCGA-14-0871-01A"	"CE8"
"TCGA-02-2485-01A"	"CE8"
"TCGA-76-4931-01A"	"CE8"
"TCGA-26-5132-01A"	"CE8"
"TCGA-26-5133-01A"	"CE8"
"TCGA-19-2624-01A"	"CE8"
"TCGA-06-2570-01A"	"CE8"
"TCGA-19-2619-01A"	"CE8"
"TCGA-19-1390-01A"	"CE8"
"TCGA-12-0821-01A"	"CE8"
"TCGA-06-0158-01A"	"CE8"
"TCGA-06-0747-01A"	"CE8"
"TCGA-06-0129-01A"	"CE8"
"TCGA-06-0125-01A"	"CE8"
"TCGA-06-AABW-11A"	"CE8"
"TCGA-28-5220-01A"	"CE8"
"TCGA-76-4929-01A"	"CE8"
"TCGA-26-1442-01A"	"CE8"
"TCGA-14-0790-01B"	"CE8"
"TCGA-06-2565-01A"	"CE8"
"TCGA-14-1825-01A"	"CE8"
"TCGA-28-2499-01A"	"CE8"
"TCGA-06-1804-01A"	"CE8"
"TCGA-06-0221-02A"	"CE8"
"TCGA-76-4925-01A"	"CE8"
"TCGA-76-4926-01B"	"CE8"
"TCGA-27-1834-01A"	"CE8"
"TCGA-32-1970-01A"	"CE8"
"TCGA-19-5960-01A"	"CE8"
"TCGA-06-0743-01A"	"CE8"
"TCGA-08-0386-01A"	"CE8"
"TCGA-16-0846-01A"	"CE9"
"TCGA-14-0817-01A"	"CE9"
"TCGA-32-4213-01A"	"CE9"
"TCGA-06-5412-01A"	"CE9"
"TCGA-28-1747-01C"	"CE9"
"TCGA-06-2567-01A"	"CE9"
"TCGA-06-0210-02A"	"CE9"
"TCGA-12-3653-01A"	"CE9"
"TCGA-26-5136-01B"	"CE9"
"TCGA-06-0130-01A"	"CE9"
"TCGA-27-2519-01A"	"CE9"
"TCGA-02-2486-01A"	"CE9"
"TCGA-27-1832-01A"	"CE9"
"TCGA-06-0139-01A"	"CE9"
"TCGA-32-2632-01A"	"CE10"
"TCGA-06-0649-01B"	"CE10"
"TCGA-06-0152-02A"	"CE10"
"TCGA-06-2557-01A"	"CE10"
"TCGA-06-5413-01A"	"CE10"
"TCGA-14-0736-02A"	"CE10"
