"ID"	"Cell State"
"TCGA.CQ.5331.01A"	"S01"
"TCGA.CQ.7063.01A"	"S01"
"TCGA.CQ.5327.01A"	"S01"
"TCGA.CN.6995.01A"	"S01"
"TCGA.CR.7373.01A"	"S01"
"TCGA.D6.6825.01A"	"S01"
"TCGA.CN.6013.01A"	"S01"
"TCGA.CR.7395.01A"	"S01"
"TCGA.CV.A468.01A"	"S01"
"TCGA.CQ.6219.01A"	"S01"
"TCGA.CQ.5333.01A"	"S01"
"TCGA.CQ.5334.01A"	"S01"
"TCGA.CV.6938.01A"	"S01"
"TCGA.CN.6023.01A"	"S01"
"TCGA.DQ.5630.01A"	"S01"
"TCGA.CV.A461.01A"	"S01"
"TCGA.CR.6484.01A"	"S01"
"TCGA.CN.A499.01A"	"S01"
"TCGA.CN.A6V6.01A"	"S01"
"TCGA.CV.7427.01A"	"S01"
"TCGA.UF.A7JO.01A"	"S01"
"TCGA.CV.7428.01A"	"S01"
"TCGA.TN.A7HL.01A"	"S01"
"TCGA.MT.A67F.01A"	"S01"
"TCGA.H7.8501.01A"	"S01"
"TCGA.CN.A49B.01A"	"S01"
"TCGA.CN.4736.01A"	"S01"
"TCGA.CV.A6JZ.01A"	"S01"
"TCGA.F7.A624.01A"	"S01"
"TCGA.CN.5369.01A"	"S01"
"TCGA.KU.A6H7.01A"	"S01"
"TCGA.F7.A620.01A"	"S01"
"TCGA.P3.A5Q5.01A"	"S01"
"TCGA.CN.6996.01A"	"S01"
"TCGA.T2.A6WX.01A"	"S01"
"TCGA.DQ.5625.01A"	"S01"
"TCGA.CQ.7068.01A"	"S01"
"TCGA.CV.6943.01A"	"S02"
"TCGA.CR.5249.01A"	"S02"
"TCGA.CV.A45W.01A"	"S02"
"TCGA.CV.A45T.01A"	"S02"
"TCGA.QK.A652.01A"	"S02"
"TCGA.H7.A76A.01A"	"S02"
"TCGA.CQ.5325.01A"	"S02"
"TCGA.CV.7410.01A"	"S02"
"TCGA.HD.8314.01A"	"S02"
"TCGA.CN.4739.01A"	"S02"
"TCGA.CR.7392.01A"	"S02"
"TCGA.CR.6471.01A"	"S02"
"TCGA.CV.7248.01A"	"S02"
"TCGA.CN.5360.01A"	"S02"
"TCGA.BA.A6DB.01A"	"S02"
"TCGA.CV.5971.01A"	"S02"
"TCGA.CX.7085.01A"	"S02"
"TCGA.CV.7250.11A"	"S02"
"TCGA.CN.5358.01A"	"S02"
"TCGA.CR.7376.01A"	"S02"
"TCGA.CR.5248.01A"	"S02"
"TCGA.CR.7377.01A"	"S02"
"TCGA.UF.A7JJ.01A"	"S02"
"TCGA.CV.7238.01A"	"S02"
"TCGA.CN.4738.01A"	"S02"
"TCGA.CR.7388.01A"	"S02"
"TCGA.CR.7374.01A"	"S02"
"TCGA.QK.A6V9.01A"	"S02"
"TCGA.CN.6017.01A"	"S02"
"TCGA.BA.5556.01A"	"S02"
"TCGA.F7.8489.01A"	"S02"
"TCGA.T2.A6X0.01A"	"S02"
"TCGA.CR.6470.01A"	"S02"
"TCGA.CR.6487.01A"	"S02"
"TCGA.CR.7394.01A"	"S02"
"TCGA.CV.7254.01A"	"S02"
"TCGA.CR.6478.01A"	"S02"
