"ID"	"Cell State"
"TCGA.CN.5374.01A"	"S01"
"TCGA.CR.5249.01A"	"S01"
"TCGA.CV.A45W.01A"	"S01"
"TCGA.CV.A45T.01A"	"S01"
"TCGA.QK.A8ZB.01A"	"S01"
"TCGA.CR.5250.01A"	"S01"
"TCGA.QK.A6VC.01A"	"S01"
"TCGA.H7.A76A.01A"	"S01"
"TCGA.CV.7410.01A"	"S01"
"TCGA.BB.4225.01A"	"S01"
"TCGA.CN.4739.01A"	"S01"
"TCGA.F7.7848.01A"	"S01"
"TCGA.CR.7392.01A"	"S01"
"TCGA.QK.A6IF.01A"	"S01"
"TCGA.CV.7248.01A"	"S01"
"TCGA.CV.7101.01A"	"S01"
"TCGA.CN.5360.01A"	"S01"
"TCGA.BA.5153.01A"	"S01"
"TCGA.CN.5358.01A"	"S01"
"TCGA.CR.5248.01A"	"S01"
"TCGA.CV.7242.01A"	"S01"
"TCGA.CV.A468.01A"	"S01"
"TCGA.CV.5431.01A"	"S01"
"TCGA.CQ.5323.01A"	"S01"
"TCGA.CN.5356.01A"	"S01"
"TCGA.BA.6870.01A"	"S01"
"TCGA.CR.7388.01A"	"S01"
"TCGA.CR.7374.01A"	"S01"
"TCGA.UF.A71B.01A"	"S01"
"TCGA.CN.A6V6.01A"	"S01"
"TCGA.CR.5243.01A"	"S01"
"TCGA.CR.6470.01A"	"S01"
"TCGA.CR.6487.01A"	"S01"
"TCGA.D6.A4ZB.01A"	"S01"
"TCGA.CV.7254.01A"	"S01"
"TCGA.MT.A67D.01A"	"S01"
"TCGA.MZ.A6I9.01A"	"S01"
"TCGA.CR.6467.01A"	"S01"
"TCGA.P3.A6SW.01A"	"S01"
"TCGA.CN.6012.01A"	"S01"
"TCGA.CV.A460.01A"	"S01"
"TCGA.BA.5559.01A"	"S01"
"TCGA.CR.6481.01A"	"S01"
"TCGA.CR.6482.01A"	"S01"
"TCGA.CV.A45Y.01A"	"S01"
"TCGA.BB.4217.01A"	"S01"
"TCGA.D6.A74Q.01A"	"S01"
"TCGA.CR.7404.01A"	"S01"
"TCGA.CN.4733.01A"	"S01"
"TCGA.CV.6943.01A"	"S02"
"TCGA.CV.6959.01A"	"S02"
"TCGA.CQ.5331.01A"	"S02"
"TCGA.CQ.7063.01A"	"S02"
"TCGA.CN.5373.01A"	"S02"
"TCGA.BA.4077.01B"	"S02"
"TCGA.BA.5557.01A"	"S02"
"TCGA.CR.6471.01A"	"S02"
"TCGA.UF.A7JT.01A"	"S02"
"TCGA.CR.7399.01A"	"S02"
"TCGA.BA.A6DB.01A"	"S02"
"TCGA.CQ.5327.01A"	"S02"
"TCGA.CN.6995.01A"	"S02"
"TCGA.CR.7373.01A"	"S02"
"TCGA.CX.7085.01A"	"S02"
"TCGA.CQ.6222.01A"	"S02"
"TCGA.D6.6825.01A"	"S02"
"TCGA.CN.6013.01A"	"S02"
"TCGA.CR.7376.01A"	"S02"
"TCGA.BA.5558.01A"	"S02"
"TCGA.CR.7395.01A"	"S02"
"TCGA.CQ.6219.01A"	"S02"
"TCGA.D6.6826.01A"	"S02"
"TCGA.CR.6488.01A"	"S02"
"TCGA.CQ.5333.01A"	"S02"
"TCGA.CN.5370.01A"	"S02"
"TCGA.CQ.5334.01A"	"S02"
"TCGA.CR.7382.01A"	"S02"
"TCGA.CV.6938.01A"	"S02"
"TCGA.CV.7433.01A"	"S02"
"TCGA.CN.6022.01A"	"S02"
"TCGA.CV.A461.01A"	"S02"
"TCGA.CN.6017.01A"	"S02"
"TCGA.CR.6484.01A"	"S02"
"TCGA.BA.5556.01A"	"S02"
"TCGA.CN.A499.01A"	"S02"
"TCGA.UF.A7JV.01A"	"S02"
"TCGA.CQ.5330.01A"	"S02"
"TCGA.CV.7427.01A"	"S02"
"TCGA.UF.A7JO.01A"	"S02"
"TCGA.CV.7428.01A"	"S02"
"TCGA.CR.7394.01A"	"S02"
"TCGA.CR.6478.01A"	"S02"
"TCGA.TN.A7HL.01A"	"S02"
"TCGA.MT.A67F.01A"	"S02"
"TCGA.H7.8501.01A"	"S02"
"TCGA.CN.A49B.01A"	"S02"
"TCGA.CN.4736.01A"	"S02"
"TCGA.CV.A6JZ.01A"	"S02"
"TCGA.CV.6433.01A"	"S02"
