"ID"	"Cell State"
"TCGA.B2.4101.01A"	"S01"
"TCGA.B0.4838.01A"	"S01"
"TCGA.CZ.4862.01A"	"S01"
"TCGA.BP.4968.01A"	"S01"
"TCGA.CZ.4856.01A"	"S01"
"TCGA.A3.3378.01A"	"S01"
"TCGA.BP.5007.01A"	"S01"
"TCGA.B0.4816.01A"	"S01"
"TCGA.BP.4330.01A"	"S01"
"TCGA.A3.A6NJ.01A"	"S01"
"TCGA.BP.4804.01A"	"S01"
"TCGA.BP.5184.01A"	"S01"
"TCGA.A3.3326.01A"	"S01"
"TCGA.CZ.4864.01A"	"S01"
"TCGA.CJ.6027.01A"	"S01"
"TCGA.B2.4102.01A"	"S01"
"TCGA.A3.3372.01A"	"S01"
"TCGA.CJ.4872.01A"	"S01"
"TCGA.B4.5836.01A"	"S01"
"TCGA.BP.4162.01A"	"S01"
"TCGA.A3.3387.01A"	"S01"
"TCGA.CJ.4888.01A"	"S01"
"TCGA.AK.3461.01A"	"S01"
"TCGA.BP.4173.01A"	"S01"
"TCGA.BP.4989.01A"	"S01"
"TCGA.CW.5587.01A"	"S01"
"TCGA.CJ.5678.01A"	"S01"
"TCGA.CJ.4916.01A"	"S01"
"TCGA.B0.5699.01A"	"S01"
"TCGA.CJ.6028.01A"	"S01"
"TCGA.CJ.6030.01A"	"S01"
"TCGA.BP.4161.01A"	"S01"
"TCGA.B2.4099.01A"	"S01"
"TCGA.CJ.4902.01A"	"S01"
"TCGA.B0.5690.01A"	"S01"
"TCGA.CZ.5451.01A"	"S01"
"TCGA.CJ.4641.01A"	"S01"
"TCGA.A3.A8OV.01A"	"S01"
"TCGA.BP.5199.01A"	"S01"
"TCGA.CZ.5452.01A"	"S01"
"TCGA.A3.3351.01A"	"S01"
"TCGA.BP.4160.01A"	"S01"
"TCGA.CZ.5464.01A"	"S01"
"TCGA.B0.5106.01A"	"S01"
"TCGA.BP.4777.01A"	"S01"
"TCGA.B0.4818.01A"	"S01"
"TCGA.A3.3359.01A"	"S01"
"TCGA.AK.3426.01A"	"S01"
"TCGA.B8.5164.01A"	"S01"
"TCGA.B0.5081.01A"	"S01"
"TCGA.B0.5697.01A"	"S01"
"TCGA.B0.4846.01A"	"S01"
"TCGA.AK.3429.01A"	"S01"
"TCGA.B8.A54G.01A"	"S01"
"TCGA.CJ.4874.01A"	"S01"
"TCGA.CJ.4893.01A"	"S01"
"TCGA.CJ.4643.01A"	"S01"
"TCGA.B0.5713.01A"	"S01"
"TCGA.B0.4714.01A"	"S01"
"TCGA.B0.4815.01A"	"S01"
"TCGA.BP.5183.01A"	"S01"
"TCGA.B2.5641.01A"	"S01"
"TCGA.CJ.4892.01A"	"S01"
"TCGA.CZ.5470.01A"	"S01"
"TCGA.BP.5186.01A"	"S01"
"TCGA.B8.4622.01A"	"S01"
"TCGA.CZ.4865.01A"	"S01"
"TCGA.CZ.5455.01A"	"S01"
"TCGA.B8.4148.01A"	"S01"
"TCGA.CZ.4863.01A"	"S01"
"TCGA.CJ.4894.01A"	"S01"
"TCGA.CJ.4887.01A"	"S01"
"TCGA.CZ.5466.01A"	"S01"
"TCGA.B0.5119.01A"	"S01"
"TCGA.BP.4771.01A"	"S01"
"TCGA.B0.5812.01A"	"S01"
"TCGA.B0.4819.01A"	"S01"
"TCGA.CJ.4637.01A"	"S01"
"TCGA.B0.5115.01A"	"S01"
"TCGA.CW.6087.01A"	"S01"
"TCGA.A3.3358.01A"	"S01"
"TCGA.CW.5590.01A"	"S01"
"TCGA.GK.A6C7.01A"	"S01"
"TCGA.CJ.5684.01A"	"S01"
"TCGA.BP.4991.01A"	"S01"
"TCGA.CW.5591.11A"	"S01"
"TCGA.B0.5711.01A"	"S01"
"TCGA.CJ.5689.01A"	"S01"
"TCGA.B8.5553.01A"	"S01"
"TCGA.B0.4697.01A"	"S01"
"TCGA.B0.4848.01A"	"S01"
"TCGA.BP.4346.01A"	"S01"
"TCGA.CJ.4901.01A"	"S01"
"TCGA.B0.5692.01A"	"S01"
"TCGA.B2.5639.01A"	"S01"
"TCGA.B0.4824.01A"	"S01"
"TCGA.CW.5589.01A"	"S01"
"TCGA.CJ.4890.01A"	"S01"
"TCGA.DV.5575.01A"	"S01"
"TCGA.DV.5569.01A"	"S01"
"TCGA.CJ.5675.01A"	"S01"
"TCGA.BP.4170.01A"	"S01"
"TCGA.CJ.4639.01A"	"S01"
"TCGA.B8.A54D.01A"	"S01"
"TCGA.CJ.4635.01A"	"S01"
"TCGA.A3.3323.01A"	"S01"
"TCGA.CJ.5672.01A"	"S01"
"TCGA.B0.5399.01A"	"S01"
"TCGA.BP.4798.01A"	"S01"
"TCGA.B0.4693.01A"	"S01"
"TCGA.A3.3343.01A"	"S01"
"TCGA.A3.A6NL.01A"	"S01"
"TCGA.BP.4987.01A"	"S01"
"TCGA.BP.4993.01A"	"S01"
"TCGA.CJ.4886.01A"	"S01"
"TCGA.B8.5162.01A"	"S01"
"TCGA.B8.5551.01A"	"S01"
"TCGA.BP.4765.01A"	"S01"
"TCGA.A3.3331.01A"	"S01"
"TCGA.BP.4782.01A"	"S01"
"TCGA.CJ.4640.01A"	"S01"
"TCGA.BP.4977.01A"	"S02"
"TCGA.B4.5834.01A"	"S02"
"TCGA.BP.4763.01A"	"S02"
"TCGA.BP.4174.01A"	"S02"
"TCGA.BP.4353.01A"	"S02"
"TCGA.BP.4965.01A"	"S02"
"TCGA.A3.3367.01A"	"S02"
"TCGA.B0.5712.11A"	"S02"
"TCGA.CJ.4899.01A"	"S02"
"TCGA.CW.5583.01A"	"S02"
"TCGA.BP.4999.01A"	"S02"
"TCGA.AK.3460.01A"	"S02"
"TCGA.BP.4982.01A"	"S02"
"TCGA.B0.4852.01A"	"S02"
"TCGA.B8.5165.01A"	"S02"
"TCGA.CZ.5463.01A"	"S02"
"TCGA.B0.5693.01A"	"S02"
"TCGA.B0.5077.01A"	"S02"
"TCGA.B0.4710.01A"	"S02"
"TCGA.B8.5549.01A"	"S02"
"TCGA.EU.5906.01A"	"S02"
"TCGA.BP.4961.01A"	"S02"
"TCGA.CZ.5459.01A"	"S02"
"TCGA.B8.4620.01A"	"S03"
"TCGA.BP.4769.01A"	"S03"
"TCGA.CJ.4907.01A"	"S03"
"TCGA.B0.5080.01A"	"S03"
"TCGA.B8.5552.01B"	"S03"
"TCGA.CJ.4634.01A"	"S03"
"TCGA.B8.A54F.01A"	"S03"
"TCGA.B0.5097.01A"	"S03"
"TCGA.CW.6097.01A"	"S03"
"TCGA.CJ.6031.01A"	"S03"
"TCGA.BP.4337.01A"	"S03"
"TCGA.CJ.5671.01A"	"S03"
"TCGA.A3.3349.01A"	"S03"
"TCGA.B0.5709.01A"	"S03"
"TCGA.CJ.4908.01A"	"S03"
"TCGA.DV.5574.01A"	"S03"
"TCGA.B0.5095.01A"	"S03"
"TCGA.CW.5588.01A"	"S03"
"TCGA.BP.5010.01A"	"S03"
"TCGA.A3.3376.01A"	"S03"
"TCGA.B0.5695.01A"	"S03"
"TCGA.CJ.4889.01A"	"S03"
"TCGA.CJ.4918.01A"	"S03"
"TCGA.B0.5710.01A"	"S03"
"TCGA.CW.6088.01A"	"S03"
"TCGA.BP.5196.01A"	"S03"
"TCGA.B0.5691.01A"	"S03"
"TCGA.BP.4770.01A"	"S03"
"TCGA.BP.4998.01A"	"S03"
"TCGA.BP.4789.01A"	"S03"
"TCGA.B0.5108.01A"	"S03"
"TCGA.BP.5170.01A"	"S03"
"TCGA.CJ.4871.01A"	"S03"
"TCGA.CZ.5461.01A"	"S03"
"TCGA.BP.5008.01A"	"S03"
"TCGA.BP.4795.01A"	"S03"
"TCGA.BP.4972.01A"	"S03"
"TCGA.B0.5110.01A"	"S03"
"TCGA.BP.4790.01A"	"S03"
"TCGA.EU.5905.01A"	"S03"
"TCGA.BP.4760.01A"	"S03"
"TCGA.B0.5120.01A"	"S03"
"TCGA.A3.3347.01A"	"S03"
"TCGA.A3.A8CQ.01A"	"S03"
"TCGA.A3.A6NN.01A"	"S03"
"TCGA.B8.A8YJ.01A"	"S03"
"TCGA.CJ.5682.01A"	"S03"
"TCGA.BP.4345.01A"	"S03"
"TCGA.A3.3308.01A"	"S03"
"TCGA.MM.A563.01A"	"S03"
"TCGA.B2.5636.01A"	"S03"
"TCGA.BP.5200.01A"	"S03"
"TCGA.BP.4801.01A"	"S03"
"TCGA.CJ.4905.01A"	"S03"
"TCGA.AK.3431.01A"	"S03"
"TCGA.B8.5550.01A"	"S03"
"TCGA.BP.4169.01A"	"S03"
"TCGA.CW.5584.01A"	"S03"
"TCGA.A3.3316.01A"	"S03"
"TCGA.B0.4823.01A"	"S03"
"TCGA.AK.3425.01A"	"S03"
"TCGA.B8.5545.01A"	"S03"
"TCGA.BP.5195.01A"	"S03"
"TCGA.BP.5182.01A"	"S03"
"TCGA.BP.4762.01A"	"S03"
"TCGA.BP.5189.01A"	"S03"
"TCGA.A3.A8OX.01A"	"S03"
"TCGA.BP.4344.01A"	"S03"
"TCGA.CZ.5467.01A"	"S03"
"TCGA.BP.4970.01A"	"S03"
"TCGA.BP.4974.01A"	"S03"
"TCGA.CJ.6033.01A"	"S03"
"TCGA.CJ.4895.01A"	"S03"
"TCGA.AS.3778.01A"	"S04"
"TCGA.B2.A4SR.01A"	"S04"
"TCGA.B0.5092.01A"	"S04"
"TCGA.G6.A8L6.01A"	"S04"
"TCGA.A3.A8OW.01A"	"S04"
"TCGA.BP.4992.01A"	"S04"
"TCGA.BP.4341.01A"	"S04"
"TCGA.B0.4821.01A"	"S04"
"TCGA.B0.4706.01A"	"S04"
"TCGA.A3.3383.01A"	"S04"
"TCGA.B8.4143.01A"	"S04"
"TCGA.B0.4847.01A"	"S04"
"TCGA.MW.A4EC.01A"	"S04"
"TCGA.G6.A8L8.01A"	"S04"
"TCGA.BP.4327.01A"	"S04"
"TCGA.B0.4811.01A"	"S04"
"TCGA.CZ.5469.01A"	"S04"
"TCGA.A3.A6NI.01A"	"S04"
"TCGA.B0.5084.01A"	"S04"
"TCGA.BP.4355.01A"	"S04"
"TCGA.B0.4833.01A"	"S04"
"TCGA.B0.4845.01A"	"S04"
"TCGA.A3.A8OU.01A"	"S04"
"TCGA.B0.5088.01A"	"S04"
"TCGA.B0.4718.01A"	"S04"
"TCGA.BP.4776.01A"	"S04"
"TCGA.B8.A7U6.01A"	"S04"
"TCGA.BP.4165.01A"	"S04"
"TCGA.B8.A54H.01A"	"S04"
"TCGA.AK.3453.01A"	"S04"
"TCGA.B0.4701.01A"	"S04"
"TCGA.MM.A84U.01A"	"S04"
"TCGA.BP.4971.01A"	"S04"
"TCGA.B0.5702.01A"	"S04"
"TCGA.B0.5107.01A"	"S04"
"TCGA.BP.4331.01A"	"S04"
"TCGA.3Z.A93Z.01A"	"S04"
"TCGA.DV.A4W0.01A"	"S04"
"TCGA.BP.4774.01A"	"S04"
"TCGA.B0.4813.01A"	"S04"
"TCGA.MM.A564.01A"	"S04"
"TCGA.B0.5697.11A"	"S05"
"TCGA.CJ.5672.11A"	"S05"
"TCGA.CZ.5453.11A"	"S05"
"TCGA.CZ.4865.11A"	"S05"
"TCGA.CW.5584.11A"	"S05"
"TCGA.B0.5711.11A"	"S05"
"TCGA.B8.4620.11A"	"S05"
"TCGA.B0.5098.01A"	"S05"
"TCGA.CZ.5463.11A"	"S05"
"TCGA.CJ.5680.11A"	"S05"
"TCGA.CZ.5470.11A"	"S05"
"TCGA.A3.3317.01A"	"S05"
"TCGA.BP.4775.01A"	"S05"
"TCGA.CW.5580.11A"	"S05"
"TCGA.CJ.5689.11A"	"S05"
"TCGA.CJ.5679.11A"	"S05"
"TCGA.B0.5703.11A"	"S05"
"TCGA.B0.5707.01A"	"S05"
"TCGA.CJ.5681.01A"	"S05"
"TCGA.CW.5591.01A"	"S05"
"TCGA.B0.5701.11A"	"S05"
