"ID"	"Carcinoma Ecotype"
"TCGA-CJ-4907-01A"	"CE1"
"TCGA-B0-5080-01A"	"CE1"
"TCGA-CJ-4634-01A"	"CE1"
"TCGA-B8-A54F-01A"	"CE1"
"TCGA-BP-4986-01A"	"CE1"
"TCGA-B0-5097-01A"	"CE1"
"TCGA-B0-4703-01A"	"CE1"
"TCGA-CJ-6031-01A"	"CE1"
"TCGA-CJ-5671-01A"	"CE1"
"TCGA-DV-5568-01A"	"CE1"
"TCGA-CW-6090-01A"	"CE1"
"TCGA-BP-4763-01A"	"CE1"
"TCGA-BP-4975-01A"	"CE1"
"TCGA-BP-5198-01A"	"CE1"
"TCGA-DV-5574-01A"	"CE1"
"TCGA-CJ-4872-01A"	"CE1"
"TCGA-B4-5836-01A"	"CE1"
"TCGA-A3-3387-01A"	"CE1"
"TCGA-CZ-5456-01A"	"CE1"
"TCGA-B0-4810-01A"	"CE1"
"TCGA-B0-4696-01A"	"CE1"
"TCGA-B0-5095-01A"	"CE1"
"TCGA-BP-4353-01A"	"CE1"
"TCGA-CW-5588-01A"	"CE1"
"TCGA-B0-5116-01A"	"CE1"
"TCGA-B0-4690-01A"	"CE1"
"TCGA-CZ-5988-01A"	"CE1"
"TCGA-CJ-4920-01A"	"CE1"
"TCGA-CJ-4918-01A"	"CE1"
"TCGA-CJ-4897-01A"	"CE1"
"TCGA-B0-5710-01A"	"CE1"
"TCGA-BP-5199-01A"	"CE1"
"TCGA-BP-5196-01A"	"CE1"
"TCGA-BP-4770-01A"	"CE1"
"TCGA-BP-4998-01A"	"CE1"
"TCGA-B0-4688-01A"	"CE1"
"TCGA-B0-5108-01A"	"CE1"
"TCGA-BP-5170-01A"	"CE1"
"TCGA-CJ-4871-01A"	"CE1"
"TCGA-CZ-5461-01A"	"CE1"
"TCGA-B0-5696-01A"	"CE1"
"TCGA-BP-4795-01A"	"CE1"
"TCGA-B0-4699-01A"	"CE1"
"TCGA-CJ-4868-01A"	"CE1"
"TCGA-A3-3373-01A"	"CE1"
"TCGA-BP-5177-01A"	"CE1"
"TCGA-BP-4784-01A"	"CE1"
"TCGA-BP-4790-01A"	"CE1"
"TCGA-CJ-4904-01A"	"CE1"
"TCGA-EU-5905-01A"	"CE1"
"TCGA-BP-4760-01A"	"CE1"
"TCGA-A3-3347-01A"	"CE1"
"TCGA-CJ-5682-01A"	"CE1"
"TCGA-BP-4345-01A"	"CE1"
"TCGA-B0-4700-01A"	"CE1"
"TCGA-A3-3308-01A"	"CE1"
"TCGA-CZ-4865-01A"	"CE1"
"TCGA-B0-5400-01A"	"CE1"
"TCGA-A3-3317-01A"	"CE1"
