"ID"	"Cell State"
"TCGA.5P.A9K9.01A"	"S01"
"TCGA.2Z.A9J7.01A"	"S01"
"TCGA.F9.A97G.01A"	"S01"
"TCGA.BQ.7061.11A"	"S02"
"TCGA.KV.A6GD.01A"	"S02"
"TCGA.GL.A59R.11A"	"S02"
"TCGA.BQ.5894.11A"	"S02"
"TCGA.P4.A5ED.11A"	"S02"
"TCGA.BQ.5887.11A"	"S02"
"TCGA.BQ.5888.11A"	"S02"
"TCGA.UZ.A9PP.01A"	"S02"
"TCGA.2Z.A9JK.01A"	"S02"
"TCGA.EV.5903.01A"	"S02"
"TCGA.Y8.A8RY.11A"	"S02"
"TCGA.BQ.5890.11A"	"S02"
"TCGA.DZ.6132.11A"	"S02"
"TCGA.BQ.7044.11A"	"S02"
"TCGA.BQ.5891.11A"	"S02"
"TCGA.BQ.7059.11A"	"S02"
"TCGA.A4.A4ZT.01A"	"S02"
"TCGA.DZ.6134.11A"	"S02"
"TCGA.A4.A57E.11A"	"S02"
"TCGA.5P.A9JV.01A"	"S02"
"TCGA.BQ.5884.11A"	"S02"
"TCGA.BQ.5892.01A"	"S02"
"TCGA.BQ.5875.11A"	"S02"
"TCGA.BQ.7055.11A"	"S02"
"TCGA.2Z.A9J9.01A"	"S02"
"TCGA.BQ.7045.11A"	"S02"
"TCGA.BQ.7051.11A"	"S02"
"TCGA.BQ.5878.11A"	"S02"
"TCGA.A4.A4ZT.11A"	"S02"
"TCGA.P4.A5E8.11A"	"S02"
"TCGA.B9.4115.11A"	"S02"
"TCGA.BQ.5882.11A"	"S02"
"TCGA.DZ.6131.11A"	"S02"
"TCGA.DZ.6133.11A"	"S02"
"TCGA.4A.A93Y.01A"	"S02"
"TCGA.GL.A9DE.11A"	"S02"
"TCGA.A4.7828.01A"	"S02"
"TCGA.BQ.5879.11A"	"S02"
"TCGA.BQ.7046.11A"	"S02"
"TCGA.G7.A8LE.01A"	"S02"
"TCGA.UZ.A9PN.01A"	"S03"
"TCGA.IA.A83V.01A"	"S03"
"TCGA.BQ.5887.01A"	"S03"
"TCGA.BQ.5877.01A"	"S03"
"TCGA.AL.7173.01A"	"S03"
"TCGA.G7.6793.01A"	"S03"
"TCGA.P4.AAVL.01A"	"S03"
"TCGA.BQ.5893.01A"	"S03"
"TCGA.G7.6789.01A"	"S03"
"TCGA.B3.8121.01A"	"S03"
"TCGA.BQ.7049.01A"	"S03"
"TCGA.BQ.5894.01A"	"S03"
"TCGA.BQ.5889.01A"	"S03"
"TCGA.EV.5902.01A"	"S04"
"TCGA.HE.A5NH.01A"	"S04"
"TCGA.2Z.A9JG.01A"	"S04"
"TCGA.B9.5155.01A"	"S04"
"TCGA.G7.7501.01A"	"S04"
"TCGA.HE.7129.01A"	"S04"
"TCGA.P4.A5E7.01A"	"S04"
"TCGA.GL.A9DC.01A"	"S04"
"TCGA.EV.5901.01A"	"S04"
"TCGA.A4.7734.01A"	"S04"
"TCGA.B3.4103.01A"	"S04"
"TCGA.DW.7837.01A"	"S04"
"TCGA.A4.7996.01A"	"S04"
"TCGA.GL.7966.11A"	"S04"
"TCGA.DZ.6133.01A"	"S04"
"TCGA.DZ.6135.01A"	"S04"
"TCGA.A4.8515.01A"	"S04"
"TCGA.BQ.7051.01A"	"S04"
