"ID"	"Cell State"
"TCGA.S9.A6WO.01A"	"S01"
"TCGA.E1.5302.01A"	"S01"
"TCGA.DH.A66D.01A"	"S01"
"TCGA.CS.4941.01A"	"S01"
"TCGA.HT.8114.01A"	"S01"
"TCGA.FG.6691.01A"	"S01"
"TCGA.DU.A7TD.01A"	"S01"
"TCGA.DU.5855.01A"	"S01"
"TCGA.TQ.A7RW.01A"	"S01"
"TCGA.FG.8182.01A"	"S01"
"TCGA.HT.A618.01A"	"S01"
"TCGA.HT.7473.01A"	"S01"
"TCGA.CS.5397.01A"	"S01"
"TCGA.HT.7686.01A"	"S01"
"TCGA.DU.6542.01A"	"S01"
"TCGA.WY.A85B.01A"	"S01"
"TCGA.HT.7472.01A"	"S01"
"TCGA.HT.7857.01A"	"S01"
"TCGA.CS.6290.01A"	"S01"
"TCGA.CS.4942.01A"	"S01"
"TCGA.DU.7015.01A"	"S01"
"TCGA.DU.8165.01A"	"S01"
"TCGA.DU.6408.01A"	"S01"
"TCGA.HT.7611.01A"	"S01"
"TCGA.TM.A84L.01A"	"S01"
"TCGA.DU.5854.01A"	"S01"
"TCGA.DU.7299.01A"	"S01"
"TCGA.HT.8108.01A"	"S01"
"TCGA.TM.A84Q.01A"	"S01"
"TCGA.HT.8013.01A"	"S01"
"TCGA.DU.7006.01A"	"S01"
"TCGA.E1.A7YK.01A"	"S01"
"TCGA.HT.8111.01A"	"S01"
"TCGA.DU.5853.01A"	"S01"
"TCGA.HT.7860.01A"	"S01"
"TCGA.HT.7601.01A"	"S01"
"TCGA.S9.A7IX.01A"	"S01"
"TCGA.DU.6399.01A"	"S01"
"TCGA.DU.8163.01A"	"S01"
"TCGA.HT.7478.01A"	"S01"
"TCGA.S9.A89V.01A"	"S01"
"TCGA.DH.5142.01A"	"S01"
"TCGA.FG.5963.01A"	"S01"
"TCGA.S9.A6UA.01A"	"S01"
"TCGA.DB.5273.01A"	"S01"
"TCGA.S9.A6WQ.01A"	"S02"
"TCGA.QH.A6CV.01A"	"S02"
"TCGA.HT.7485.01A"	"S02"
"TCGA.TQ.A7RR.01A"	"S02"
"TCGA.FG.6688.01A"	"S02"
"TCGA.DU.A6S7.01A"	"S02"
"TCGA.TQ.A8XE.02A"	"S02"
"TCGA.DH.A7UT.01A"	"S02"
"TCGA.DU.5871.01A"	"S02"
"TCGA.HT.7676.01A"	"S02"
"TCGA.E1.A7Z4.01A"	"S02"
"TCGA.S9.A7IY.01A"	"S02"
"TCGA.DU.6403.01A"	"S02"
"TCGA.FG.A70Y.01A"	"S02"
"TCGA.S9.A6U5.01A"	"S02"
"TCGA.S9.A7R2.01A"	"S02"
"TCGA.HT.A5R5.01A"	"S02"
"TCGA.E1.5303.01A"	"S02"
"TCGA.FG.5965.01B"	"S02"
"TCGA.DU.A5TY.01A"	"S02"
"TCGA.FG.A87Q.01A"	"S02"
"TCGA.TQ.A7RH.01A"	"S02"
"TCGA.S9.A6U8.01A"	"S02"
"TCGA.S9.A7R8.01A"	"S02"
"TCGA.DB.A64V.01A"	"S02"
"TCGA.HT.A74H.01A"	"S02"
