"ID"	"Cell State"
"TCGA.DD.AACT.01A"	"S01"
"TCGA.CC.5258.01A"	"S01"
"TCGA.UB.A7MF.01A"	"S01"
"TCGA.DD.AADB.01A"	"S01"
"TCGA.DD.A1EA.01A"	"S01"
"TCGA.CC.A7IE.01A"	"S01"
"TCGA.XR.A8TD.01A"	"S01"
"TCGA.2Y.A9GY.01A"	"S01"
"TCGA.DD.AACC.01A"	"S01"
"TCGA.ZP.A9CZ.01A"	"S01"
"TCGA.2Y.A9GT.01A"	"S01"
"TCGA.DD.AAEH.01A"	"S01"
"TCGA.G3.A3CK.01A"	"S01"
"TCGA.EP.A3JL.01A"	"S01"
"TCGA.DD.AACZ.01A"	"S01"
"TCGA.G3.AAV3.01A"	"S01"
"TCGA.FV.A4ZQ.01A"	"S01"
"TCGA.UB.A7ME.01A"	"S01"
"TCGA.DD.AAVQ.01A"	"S01"
"TCGA.CC.A1HT.01A"	"S01"
"TCGA.DD.AACI.01A"	"S01"
"TCGA.DD.A4NR.01A"	"S01"
"TCGA.RG.A7D4.01A"	"S01"
"TCGA.EP.A2KA.01A"	"S01"
"TCGA.K7.A5RG.01A"	"S01"
"TCGA.EP.A3RK.01A"	"S01"
"TCGA.MI.A75H.01A"	"S01"
"TCGA.ED.A5KG.01A"	"S01"
"TCGA.DD.AACL.01A"	"S01"
"TCGA.G3.A25X.01A"	"S01"
"TCGA.BC.4072.01B"	"S01"
"TCGA.DD.AADI.01A"	"S01"
"TCGA.BC.A8YO.01A"	"S01"
"TCGA.DD.A1EC.01A"	"S01"
"TCGA.KR.A7K7.01A"	"S01"
"TCGA.DD.AADN.01A"	"S01"
"TCGA.2Y.A9H0.01A"	"S01"
"TCGA.CC.A8HT.01A"	"S01"
"TCGA.BC.A216.01A"	"S01"
"TCGA.DD.A73F.01A"	"S01"
"TCGA.DD.AAEK.01A"	"S01"
"TCGA.DD.A1EG.01A"	"S01"
"TCGA.DD.A11A.11A"	"S01"
"TCGA.2Y.A9H3.01A"	"S01"
"TCGA.BD.A2L6.11A"	"S01"
"TCGA.DD.AAE4.01A"	"S01"
"TCGA.2V.A95S.01A"	"S01"
"TCGA.DD.AACH.01A"	"S01"
"TCGA.ES.A2HT.11A"	"S01"
"TCGA.5C.AAPD.01A"	"S01"
"TCGA.KR.A7K8.01A"	"S01"
"TCGA.DD.A114.11A"	"S01"
"TCGA.BW.A5NQ.01A"	"S01"
"TCGA.DD.AACB.01A"	"S01"
"TCGA.DD.A114.01A"	"S01"
"TCGA.DD.A1EC.11A"	"S02"
"TCGA.ED.A4XI.01A"	"S02"
"TCGA.BC.A10R.01A"	"S02"
"TCGA.DD.A3A4.11A"	"S02"
