"ID"	"Cell State"
"TCGA.61.2003.01A"	"S01"
"TCGA.29.1710.01A"	"S01"
"TCGA.25.1628.01A"	"S01"
"TCGA.24.2288.01A"	"S01"
"TCGA.25.1626.01A"	"S01"
"TCGA.24.2261.01A"	"S01"
"TCGA.59.2354.01A"	"S01"
"TCGA.13.0768.01A"	"S01"
"TCGA.31.1953.01A"	"S01"
"TCGA.61.1995.01A"	"S01"
"TCGA.24.2267.01A"	"S01"
"TCGA.24.1417.01A"	"S01"
"TCGA.25.2392.01A"	"S01"
"TCGA.36.1568.01A"	"S01"
"TCGA.24.1847.01A"	"S01"
"TCGA.36.1569.01A"	"S01"
"TCGA.36.1581.01A"	"S01"
"TCGA.61.2111.01A"	"S01"
"TCGA.24.1470.01A"	"S01"
"TCGA.57.1994.01A"	"S01"
"TCGA.24.2271.01A"	"S01"
"TCGA.24.1553.01A"	"S01"
"TCGA.24.1422.01A"	"S01"
"TCGA.13.1499.01A"	"S01"
"TCGA.23.2078.01A"	"S01"
"TCGA.25.1313.01A"	"S02"
"TCGA.13.0725.01A"	"S02"
"TCGA.61.2008.01A"	"S02"
"TCGA.24.1565.01A"	"S02"
"TCGA.57.1584.01A"	"S02"
"TCGA.20.1682.01A"	"S02"
"TCGA.04.1648.01A"	"S02"
"TCGA.25.2391.01A"	"S02"
"TCGA.09.0366.01A"	"S02"
"TCGA.13.0795.01A"	"S02"
"TCGA.09.1670.01A"	"S02"
"TCGA.25.1635.01A"	"S02"
"TCGA.13.0804.01A"	"S02"
"TCGA.61.1918.01A"	"S02"
"TCGA.23.1120.01A"	"S03"
"TCGA.13.1507.01A"	"S03"
"TCGA.23.1118.01A"	"S03"
"TCGA.29.1688.01A"	"S03"
"TCGA.24.2281.01A"	"S03"
"TCGA.23.1123.01A"	"S03"
"TCGA.29.1781.01A"	"S03"
"TCGA.61.2002.01A"	"S03"
"TCGA.31.1956.01A"	"S03"
"TCGA.24.1549.01A"	"S03"
"TCGA.24.1842.01A"	"S03"
"TCGA.04.1365.01A"	"S03"
"TCGA.29.1711.01A"	"S03"
"TCGA.04.1357.01A"	"S03"
"TCGA.24.0968.01A"	"S03"
"TCGA.61.1907.01A"	"S03"
"TCGA.23.1026.01B"	"S03"
"TCGA.59.2351.01A"	"S03"
"TCGA.24.1930.01A"	"S03"
"TCGA.25.2396.01A"	"S03"
"TCGA.09.2051.01A"	"S03"
"TCGA.13.2060.01A"	"S03"
"TCGA.24.1924.01A"	"S03"
"TCGA.09.1667.01C"	"S03"
"TCGA.61.2104.01A"	"S03"
"TCGA.29.2427.01A"	"S03"
"TCGA.61.1911.01A"	"S03"
"TCGA.29.2428.01A"	"S03"
"TCGA.09.2044.01B"	"S03"
"TCGA.20.0991.01A"	"S03"
"TCGA.30.1860.01A"	"S03"
"TCGA.24.1428.01A"	"S03"
"TCGA.36.1576.01A"	"S03"
"TCGA.61.2008.02A"	"S03"
"TCGA.20.0987.01A"	"S03"
"TCGA.29.1785.01A"	"S03"
"TCGA.29.1784.01A"	"S03"
"TCGA.29.1695.01A"	"S04"
"TCGA.25.1318.01A"	"S04"
