"ID"	"Cell State"
"TCGA.QQ.A5VA.01A"	"S01"
"TCGA.K1.A3PO.01A"	"S01"
"TCGA.DX.AB32.01A"	"S01"
"TCGA.3B.A9HJ.01A"	"S01"
"TCGA.DX.A2J0.01A"	"S01"
"TCGA.DX.A2J4.01A"	"S01"
"TCGA.DX.A7ES.01A"	"S01"
"TCGA.VT.AB3D.01A"	"S01"
"TCGA.K1.A6RT.01A"	"S01"
"TCGA.DX.A1L1.01A"	"S01"
"TCGA.UE.A6QT.01A"	"S01"
"TCGA.DX.A3U6.01A"	"S01"
"TCGA.DX.AB2V.01A"	"S01"
"TCGA.VT.A80J.02A"	"S01"
"TCGA.DX.AB2S.01A"	"S01"
"TCGA.DX.A6BE.01A"	"S01"
"TCGA.3B.A9HU.01A"	"S01"
"TCGA.IW.A3M6.01A"	"S02"
"TCGA.SG.A6Z7.01A"	"S02"
"TCGA.FX.A2QS.01A"	"S02"
"TCGA.KD.A5QU.01A"	"S02"
"TCGA.SI.AA8C.01A"	"S02"
"TCGA.QQ.A8VH.01A"	"S02"
"TCGA.HS.A5N8.01A"	"S02"
"TCGA.DX.A3LW.01A"	"S02"
"TCGA.X6.A8C5.01A"	"S03"
"TCGA.DX.A1L0.01A"	"S03"
"TCGA.FX.A3NK.01A"	"S03"
"TCGA.DX.A8BV.01A"	"S03"
"TCGA.MO.A47P.01A"	"S03"
"TCGA.DX.A48P.01A"	"S03"
"TCGA.DX.A3UF.01A"	"S03"
"TCGA.DX.AB2G.01A"	"S03"
"TCGA.DX.A48O.01A"	"S03"
"TCGA.3B.A9I3.01A"	"S03"
"TCGA.PC.A5DO.01A"	"S03"
"TCGA.HB.A5W3.01A"	"S03"
"TCGA.K1.A3PN.01A"	"S03"
"TCGA.3B.A9HY.01A"	"S03"
"TCGA.K1.A42W.01A"	"S03"
"TCGA.Z4.A9VC.01A"	"S03"
"TCGA.WK.A8XX.01A"	"S03"
"TCGA.X6.A7WA.01A"	"S03"
"TCGA.DX.A3UC.01A"	"S03"
"TCGA.3B.A9HX.01A"	"S03"
"TCGA.WK.A8XZ.01A"	"S03"
"TCGA.DX.A48J.01A"	"S03"
"TCGA.DX.AB2L.01A"	"S03"
"TCGA.K1.A6RU.01A"	"S03"
"TCGA.3B.A9HP.01A"	"S03"
"TCGA.X6.A8C6.01A"	"S03"
"TCGA.3B.A9HL.01A"	"S03"
"TCGA.FX.A3NJ.01A"	"S03"
"TCGA.MB.A8JK.01A"	"S03"
"TCGA.X6.A7WD.01A"	"S03"
"TCGA.DX.A7EM.01A"	"S03"
"TCGA.HS.A5N7.01A"	"S03"
"TCGA.QQ.A5VD.01A"	"S03"
"TCGA.IW.A3M4.01A"	"S03"
"TCGA.DX.A48K.01A"	"S03"
"TCGA.DX.A7EU.01A"	"S03"
"TCGA.PC.A5DN.01A"	"S03"
"TCGA.DX.AB2F.01A"	"S03"
"TCGA.PC.A5DL.01A"	"S03"
"TCGA.DX.A48N.01A"	"S04"
"TCGA.X6.A8C7.01A"	"S04"
"TCGA.K1.A42X.01A"	"S04"
"TCGA.HB.A43Z.01A"	"S04"
"TCGA.DX.AB3B.01A"	"S04"
"TCGA.DX.A23R.01A"	"S04"
"TCGA.K1.A42X.02A"	"S04"
