"ID"	"Cell State"
"TCGA.EE.A2GI.06A"	"S01"
"TCGA.D3.A51H.06A"	"S01"
"TCGA.D3.A8GB.06A"	"S01"
"TCGA.D9.A3Z3.06A"	"S01"
"TCGA.EE.A2MH.06A"	"S01"
"TCGA.FS.A1ZT.06A"	"S01"
"TCGA.FR.A729.06A"	"S01"
"TCGA.EE.A2MD.06A"	"S01"
"TCGA.D3.A2JN.06A"	"S01"
"TCGA.D3.A8GD.06A"	"S01"
"TCGA.EE.A29M.06A"	"S01"
"TCGA.EB.A4IS.01A"	"S01"
"TCGA.WE.A8ZR.06A"	"S01"
"TCGA.D3.A2JF.06A"	"S01"
"TCGA.EE.A29N.06A"	"S01"
"TCGA.D3.A2JD.06A"	"S01"
"TCGA.EE.A2A6.06A"	"S01"
"TCGA.GN.A9SD.06A"	"S01"
"TCGA.EE.A2GT.06A"	"S01"
"TCGA.EB.A6L9.06A"	"S01"
"TCGA.D3.A1Q3.06A"	"S01"
"TCGA.QB.A6FS.06A"	"S01"
"TCGA.D3.A3CB.06A"	"S01"
"TCGA.EE.A2GL.06A"	"S01"
"TCGA.FR.A8YE.06A"	"S01"
"TCGA.D3.A5GR.06A"	"S01"
"TCGA.EE.A2MJ.06A"	"S01"
"TCGA.EE.A2MR.06A"	"S01"
"TCGA.EE.A3JE.06A"	"S01"
"TCGA.D3.A2J9.06A"	"S01"
"TCGA.ER.A19P.06A"	"S01"
"TCGA.DA.A1IB.06A"	"S01"
"TCGA.WE.AAA0.06A"	"S01"
"TCGA.EE.A2GK.06A"	"S01"
"TCGA.Z2.A8RT.06A"	"S01"
"TCGA.EE.A3JH.06A"	"S01"
"TCGA.EE.A2A1.06A"	"S01"
"TCGA.D3.A3MR.06A"	"S01"
"TCGA.D3.A3CF.06A"	"S01"
"TCGA.FW.A3R5.06A"	"S01"
"TCGA.3N.A9WD.06A"	"S01"
"TCGA.EE.A2ME.06A"	"S01"
"TCGA.GN.A4U8.06A"	"S01"
"TCGA.FS.A4F8.06A"	"S01"
"TCGA.EE.A181.06A"	"S01"
"TCGA.GN.A4U8.11A"	"S01"
"TCGA.BF.AAP0.06A"	"S01"
"TCGA.ER.A1A1.06A"	"S01"
"TCGA.EE.A2MG.06A"	"S01"
"TCGA.EE.A2M7.06A"	"S01"
"TCGA.FW.A3TV.06A"	"S01"
"TCGA.D3.A2JB.06A"	"S01"
"TCGA.FS.A1ZH.06A"	"S01"
"TCGA.ER.A199.06A"	"S01"
"TCGA.D3.A51N.06A"	"S01"
"TCGA.D3.A8GO.06A"	"S01"
"TCGA.D3.A3C3.06A"	"S01"
"TCGA.EE.A3JD.06A"	"S01"
"TCGA.EB.A5UL.06A"	"S01"
"TCGA.EE.A3AA.06A"	"S01"
