"ID"	"Cell State"
"TCGA.A5.A0G1.01A"	"S01"
"TCGA.B5.A11X.01A"	"S01"
"TCGA.BK.A6W3.01A"	"S01"
"TCGA.A5.A1OF.01A"	"S01"
"TCGA.AP.A0LI.01A"	"S01"
"TCGA.SL.A6J9.01A"	"S01"
"TCGA.DF.A2KY.01A"	"S01"
"TCGA.FI.A2F4.01A"	"S01"
"TCGA.AJ.A2QL.01A"	"S01"
"TCGA.AP.A0LF.01A"	"S01"
"TCGA.B5.A0JS.01A"	"S01"
"TCGA.DF.A2KV.01A"	"S01"
"TCGA.BG.A0VX.01A"	"S01"
"TCGA.A5.A1OG.01A"	"S01"
"TCGA.D1.A174.01A"	"S01"
"TCGA.EY.A1GK.01A"	"S01"
"TCGA.B5.A11N.01A"	"S01"
"TCGA.A5.A0G5.01A"	"S01"
"TCGA.PG.A6IB.01A"	"S01"
"TCGA.EC.A1NJ.01A"	"S01"
"TCGA.AJ.A3QS.01A"	"S01"
"TCGA.B5.A3FC.01A"	"S01"
"TCGA.AX.A06F.01A"	"S01"
"TCGA.BS.A0UF.01A"	"S01"
"TCGA.BS.A0TA.01A"	"S01"
"TCGA.EO.A3B1.01A"	"S01"
"TCGA.B5.A0KB.01B"	"S01"
"TCGA.FI.A2D6.01A"	"S01"
"TCGA.D1.A1O8.01A"	"S01"
"TCGA.D1.A16X.01A"	"S01"
"TCGA.AP.A056.01A"	"S01"
"TCGA.B5.A0JX.01A"	"S01"
"TCGA.EY.A4KR.01A"	"S01"
"TCGA.AX.A1CK.11A"	"S01"
"TCGA.AX.A3FT.01A"	"S01"
"TCGA.D1.A15X.01A"	"S01"
"TCGA.D1.A17B.01A"	"S01"
"TCGA.AX.A3G3.01A"	"S01"
"TCGA.AJ.A3EK.01A"	"S01"
"TCGA.EO.A3AY.01A"	"S01"
"TCGA.AP.A059.01A"	"S01"
"TCGA.AX.A06H.01A"	"S01"
"TCGA.E6.A8L9.01A"	"S01"
"TCGA.BG.A2L7.01A"	"S01"
"TCGA.B5.A1MR.01A"	"S01"
"TCGA.B5.A1MX.01A"	"S01"
"TCGA.A5.A2K3.01A"	"S01"
"TCGA.DF.A2KS.01A"	"S01"
"TCGA.B5.A11H.01A"	"S01"
"TCGA.AP.A1DH.01A"	"S01"
"TCGA.PG.A917.01A"	"S01"
"TCGA.B5.A11Y.01A"	"S01"
"TCGA.A5.A0G2.01A"	"S01"
"TCGA.E6.A2P8.01A"	"S01"
"TCGA.D1.A0ZV.01A"	"S01"
"TCGA.A5.A0GW.01A"	"S01"
"TCGA.AX.A05Z.01A"	"S01"
"TCGA.B5.A11I.01A"	"S01"
"TCGA.AX.A3G1.01A"	"S01"
"TCGA.EO.A22X.01A"	"S01"
"TCGA.JU.AAVI.01A"	"S01"
"TCGA.AX.A1C9.01A"	"S01"
"TCGA.EO.A3AV.01A"	"S01"
"TCGA.EC.A1QX.01A"	"S01"
"TCGA.SJ.A6ZI.01A"	"S01"
"TCGA.AP.A0LV.01A"	"S01"
"TCGA.B5.A0JZ.01A"	"S01"
"TCGA.DF.A2KU.01A"	"S01"
"TCGA.B5.A0K0.01A"	"S01"
"TCGA.AJ.A3BK.01A"	"S01"
"TCGA.EO.A22T.01A"	"S01"
"TCGA.AJ.A3EL.01A"	"S01"
"TCGA.BG.A18B.01A"	"S01"
"TCGA.KP.A3W1.01A"	"S01"
"TCGA.BG.A2AE.01A"	"S01"
"TCGA.EY.A210.01A"	"S01"
"TCGA.D1.A169.01A"	"S01"
"TCGA.EY.A1GC.01A"	"S01"
"TCGA.BS.A0UM.01A"	"S01"
"TCGA.FI.A2CY.01A"	"S01"
"TCGA.B5.A0JR.01A"	"S01"
"TCGA.AX.A0IZ.01A"	"S01"
