"ID"	"Cell State"
"TCGA.BG.A0M8.01A"	"S01"
"TCGA.B5.A11X.01A"	"S01"
"TCGA.QS.A5YR.01A"	"S01"
"TCGA.AP.A0LF.01A"	"S01"
"TCGA.AX.A06B.01A"	"S01"
"TCGA.D1.A174.01A"	"S01"
"TCGA.EY.A1GK.01A"	"S01"
"TCGA.B5.A11N.01A"	"S01"
"TCGA.D1.A16J.01A"	"S01"
"TCGA.EC.A1NJ.01A"	"S01"
"TCGA.AJ.A3QS.01A"	"S01"
"TCGA.B5.A3FC.01A"	"S01"
"TCGA.EY.A1GP.01A"	"S01"
"TCGA.BS.A0UF.01A"	"S01"
"TCGA.AP.A1DK.01A"	"S01"
"TCGA.AJ.A8CT.01A"	"S01"
"TCGA.D1.A16X.01A"	"S01"
"TCGA.D1.A16B.01A"	"S01"
"TCGA.D1.A17B.01A"	"S01"
"TCGA.A5.A0GG.01A"	"S01"
"TCGA.AX.A06H.01A"	"S01"
"TCGA.BG.A2L7.01A"	"S01"
"TCGA.B5.A1MR.01A"	"S01"
"TCGA.B5.A1MX.01A"	"S01"
"TCGA.A5.A2K3.01A"	"S01"
"TCGA.B5.A11H.01A"	"S01"
"TCGA.AP.A1DH.01A"	"S01"
"TCGA.BG.A0MH.01A"	"S01"
"TCGA.A5.A0GW.01A"	"S01"
"TCGA.AX.A3G1.01A"	"S01"
"TCGA.AX.A1C9.01A"	"S01"
"TCGA.AP.A0LM.01A"	"S01"
"TCGA.DF.A2KU.01A"	"S01"
"TCGA.A5.A0GR.01A"	"S01"
"TCGA.AJ.A2QK.01A"	"S01"
"TCGA.AJ.A3EL.01A"	"S01"
"TCGA.AX.A2H2.01A"	"S01"
"TCGA.BS.A0UM.01A"	"S01"
"TCGA.AX.A0IZ.01A"	"S01"
"TCGA.AJ.A23O.01A"	"S01"
"TCGA.D1.A103.01A"	"S01"
"TCGA.B5.A0K2.01A"	"S01"
"TCGA.A5.A0G1.01A"	"S02"
"TCGA.EO.A3KW.01A"	"S02"
"TCGA.BG.A0MI.01A"	"S02"
"TCGA.BK.A6W3.01A"	"S02"
"TCGA.A5.A1OF.01A"	"S02"
"TCGA.SL.A6J9.01A"	"S02"
"TCGA.FI.A2F4.01A"	"S02"
"TCGA.AJ.A2QL.01A"	"S02"
"TCGA.B5.A0JS.01A"	"S02"
"TCGA.BG.A0VX.01A"	"S02"
"TCGA.A5.A0G5.01A"	"S02"
